nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
AGILENT TECHNOLOGIES INC,COM,00846U101,18259,206616,SH,SOLE,NONE,206616,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,A
ABBOTT LABS,COM,002824100,23949,261939,SH,SOLE,NONE,261939,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,ABT
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,6174,41684,SH,SOLE,NONE,41684,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,ALNY
ALEXION PHARMACEUTICALS INC,COM,015351109,19393,172780,SH,SOLE,NONE,172780,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,ALXN
ANTHEM INC,COM,036752103,18146,69002,SH,SOLE,NONE,69002,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,ANTM
BIOGEN INC,COM,09062X103,17182,64220,SH,SOLE,NONE,64220,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,BIIB
BIO RAD LABS INC,CL A,090572207,11861,26270,SH,SOLE,NONE,26270,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,13380,108482,SH,SOLE,NONE,108482,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,BMRN
BRISTOL MYERS SQUIBB CO,COM,110122108,37899,644533,SH,SOLE,NONE,644533,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,BMY
BRUKER CORP,COM,116794108,13723,337346,SH,SOLE,NONE,337346,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,BRKR
BOSTON SCIENTIFIC CORP,COM,101137107,24980,711482,SH,SOLE,NONE,711482,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,BSX
CARDINAL HEALTH INC,COM,14149Y108,12254,234792,SH,SOLE,NONE,234792,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,CAH
CERNER CORP,COM,156782104,5847,85300,SH,SOLE,NONE,85300,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,
CLOVIS ONCOLOGY INC,COM,189464100,2383,353085,SH,SOLE,NONE,353085,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,CLVS
CVS HEALTH CORP,COM,126650100,9318,143416,SH,SOLE,NONE,143416,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,
QUEST DIAGNOSTICS INC,COM,74834L100,6257,54906,SH,SOLE,NONE,54906,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,DGX
ELANCO ANIMAL HEALTH INC,COM,28414H103,5532,257891,SH,SOLE,NONE,257891,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,
GILEAD SCIENCES INC,COM,375558103,33375,433784,SH,SOLE,NONE,433784,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,GILD
HCA HEALTHCARE INC,COM,40412C101,3424,35276,SH,SOLE,NONE,35276,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,HCA
HUMANA INC,COM,444859102,14136,36457,SH,SOLE,NONE,36457,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,HUM
INCYTE CORP,COM,45337C102,28694,275987,SH,SOLE,NONE,275987,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,INCY
IONIS PHARMACEUTICALS INC,COM,462222100,11201,189981,SH,SOLE,NONE,189981,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,IONS
JOHNSON  JOHNSON,COM,478160104,4258,30279,SH,SOLE,NONE,30279,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,JNJ
LIVANOVA PLC,SHS,G5509L101,5251,109110,SH,SOLE,NONE,109110,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,LIVN
MEDTRONIC PLC,SHS,G5960L103,24466,266800,SH,SOLE,NONE,266800,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,MDT
MERCK  CO INC,COM,58933Y105,31055,401595,SH,SOLE,NONE,401595,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,MRK
NUVASIVE INC,COM,670704105,17345,311628,SH,SOLE,NONE,311628,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,NUVA
PATTERSON COS INC,COM,703395103,10263,466487,SH,SOLE,NONE,466487,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,
PERKINELMER INC,COM,714046109,25280,257722,SH,SOLE,NONE,257722,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,PKI
PERRIGO CO PLC,SHS,G97822103,16061,290593,SH,SOLE,NONE,290593,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,PRGO
PTC THERAPEUTICS INC,COM,69366J200,4587,90396,SH,SOLE,NONE,90396,0,0,0001475373,06-30-2020,13F-HR,false,SECTOR GAMMA AS,08-07-2020,PTCT
