nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBVIE INC,COM,00287Y109,12571,165000,SH,DFND,"1,2",165000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ABBV
ACADIA PHARMACEUTICALS INC,COM,004225108,6633,157000,SH,DFND,"1,2",157000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ACAD
ADMA BIOLOGICS INC,COM,000899104,5294,1838100,SH,DFND,"1,2",1838100,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ADMA
ALDEYRA THERAPEUTICS INC,COM,01438T106,2641,1069089,SH,DFND,"1,2",1069089,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ALDX
ALEXION PHARMACEUTICALS INC,COM,015351109,22393,249396,SH,DFND,"1,2",249396,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ALXN
ALLENA PHARMACEUTICALS INC,COM,018119107,643,667800,SH,DFND,"1,2",667800,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ALNA
ALLOT LTD,SHS,M0854Q105,8650,915302,SH,DFND,,915302,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
AMAZON COM INC,COM,023135106,10275,5270,SH,DFND,,5270,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
AMICUS THERAPEUTICS INC,COM,03152W109,18643,2017624,SH,DFND,"1,2",2017624,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,FOLD
APPLIED THERAPEUTICS INC,COM,03828A101,2222,67967,SH,DFND,"1,2",67967,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,APLT
APTINYX INC,COM,03836N103,889,411666,SH,DFND,"1,2",411666,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,APTX
ARGENX SE,SPONSORED ADR,04016X101,1352,10265,SH,DFND,"1,2",10265,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ARGX
ARVINAS INC,COM,04335A105,5875,145781,SH,DFND,"1,2",145781,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ARVN
ARYA SCIENCES ACQUISITION CO,UNIT 10/04/2023,G3165V117,2258,200000,SH,DFND,"1,2",200000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,3668,32573,SH,DFND,"1,2",32573,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,ASND
ASTRAZENECA PLC,SPONSORED ADR,046353108,25456,570000,SH,DFND,"1,2",570000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,AZN
AUDIOCODES LTD,ORD,M15342104,4936,206619,SH,DFND,,206619,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
AXOVANT GENE THERAPIES LTD,COM,G0750W203,7152,2931018,SH,DFND,"1,2",2931018,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,AXGT
BEAM THERAPEUTICS INC,COM,07373V105,4764,264681,SH,DFND,"1,2",264681,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,BEAM
BLUEPRINT MEDICINES CORP,COM,09627Y109,6404,109500,SH,DFND,"1,2",109500,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,BPMC
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,190,50000,SH,DFND,"1,2",50000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,
BRISTOL-MYERS SQUIBB CO,COM,110122108,43477,780000,SH,DFND,"1,2",780000,0,0,0001496201,03-31-2020,13F-HR,false,SPHERA FUNDS MANAGEMENT LTD.,05-10-2020,,BMY
