nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
Abeona Therapeutics Inc.,COM,00289Y107,3340,1590686,SH,SOLE,1590686,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ABEO
ACADIA Pharmaceuticals Inc.,COM,004225108,1770469,41904586,SH,SOLE,41904586,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ACAD
Acceleron Pharma Inc.,COM,00434H108,2426,27000,SH,SOLE,27000,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,XLRN
"Adamas Pharmaceuticals, Inc.",COM,00548A106,499,172630,SH,SOLE,172630,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ADMS
Adaptive Biotechnologies Corporation,COM,00650F109,20661,743734,SH,SOLE,743734,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,
Adaptimmune Therapeutics plc,SPONSORED ADR,00653A107,10038,3690307,SH,SOLE,3690307,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ADAP
"Aeglea BioTherapeutics, Inc.",COM,00773J103,7985,1713604,SH,SOLE,1713604,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AGLE
Affimed N.V.,COM,N01045108,316,200000,SH,SOLE,200000,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AFMD
"Aimmune Therapeutics, Inc.",COM,00900T107,9718,673908,SH,SOLE,673908,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,
"Albireo Pharma, Inc.",COM,01345P106,6041,369047,SH,SOLE,369047,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ALBO
"Alector, Inc.",COM,014442107,6756,280000,SH,SOLE,280000,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ALEC
"Alexion Pharmaceuticals, Inc.",COM,015351109,786632,8760794,SH,SOLE,8760794,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ALXN
Alkermes plc,SHS,G01767105,17949,1244744,SH,SOLE,1244744,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ALKS
Allakos Inc.,COM,01671P100,32721,735469,SH,SOLE,735469,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ALLK
Amarin Corporation plc,SPONSORED ADR,023111206,137987,34496685,SH,SOLE,34496685,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AMRN
"AnaptysBio, Inc.",COM,032724106,3315,234592,SH,SOLE,234592,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ANAB
"Apellis Pharmaceuticals, Inc.",COM,03753U106,24019,896551,SH,SOLE,896551,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,APLS
"Applied Therapeutics, Inc.",COM,03828A101,2155,65934,SH,SOLE,65934,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,APLT
"Aravive, Inc.",COM,03890D108,2801,486333,SH,SOLE,486333,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ARAV
"Arcus Biosciences, Inc.",COM,03969F109,1687,121534,SH,SOLE,121534,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,RCUS
argenx SE,SPONSORED ADR,04016X101,134306,1019557,SH,SOLE,1019557,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ARGX
"ArTara Therapeutics, Inc.",COM,04300J107,4592,199671,SH,SOLE,199671,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,
ARYA Sciences Acquisition Corp.,SHS CL A,G3165V109,1527,150000,SH,SOLE,150000,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,
Ascendis Pharma A/S,SPONSORED ADR,04351P101,381778,3390270,SH,SOLE,3390270,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ASND
"Assembly Biosciences, Inc.",COM,045396108,22862,1541618,SH,SOLE,1541618,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,ASMB
"Atreca, Inc.",CL A COM,04965G109,58467,3532760,SH,SOLE,3532760,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,BCEL
Aurinia Pharmaceuticals Inc.,COM,05156V102,24695,1701929,SH,SOLE,1701929,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AUPH
Autolus Therapeutics plc,SPON ADS,05280R100,939,156773,SH,SOLE,156773,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AUTL
"Axsome Therapeutics, Inc.",COM,05464T104,52344,889757,SH,SOLE,889757,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,AXSM
"BeiGene, Ltd.",SPONSORED ADR,07725L102,1449902,11777285,SH,SOLE,11777285,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,BGNE
"Bellicum Pharmaceuticals, Inc.",COM,079481404,1173,249123,SH,SOLE,249123,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,BLCM
"BioCryst Pharmaceuticals, Inc.",COM,09058V103,21892,10946166,SH,SOLE,10946166,0,0,0001263508,03-31-2020,13F-HR,false,BAKER BROS. ADVISORS LP,05-15-2020,BCRX
