nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ACCURAY INC,COM,004397105,1281,674300,SH,SOLE, ,674300,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ARAY
AERIE PHARMACEUTICALS INC,COM,00771V108,3961,293440,SH,SOLE, ,293440,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AERI
AFFIMED NV,COM,N01045108,1791,1133401,SH,SOLE, ,1133401,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AFMD
AKEBIA THERAPEUTICS INC,COM,00972D105,6470,853538,SH,SOLE, ,853538,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AKBA
ALECTOR INC,COM,014442107,3740,155000,SH,SOLE, ,155000,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ALEC
APELLIS PHARMACEUTICALS INC,COM,03753U106,1448,54054,SH,SOLE, ,54054,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,APLS
APPLIED GENETIC TECHNOL CORP,COM,03820J100,3808,1160878,SH,SOLE, ,1160878,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AGTC
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,715,52586,SH,SOLE, ,52586,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ARCT
ARCUS BIOSCIENCES INC,COM,03969F109,386,27798,SH,SOLE, ,27798,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,RCUS
ARDELYX INC,COM,039697107,1051,184850,SH,SOLE, ,184850,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ARDX
ARENA PHARMACEUTICALS INC,COM NEW,040047607,7545,179642,SH,SOLE, ,179642,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ARNA
ARGENX SE,SPONSORED ADR,04016X101,589,4471,SH,SOLE, ,4471,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ARGX
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,3799,33737,SH,SOLE, ,33737,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ASND
ASLAN PHARMACEUTICALS LTD,ADS,04522R101,88,86082,SH,SOLE, ,86082,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ASLN
ASSEMBLY BIOSCIENCES INC,COM,045396108,528,35573,SH,SOLE, ,35573,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ASMB
ATRICURE INC,COM,04963C209,8052,239729,SH,SOLE, ,239729,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,ATRC
AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,1317,219800,SH,SOLE, ,219800,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AUTL
AXOVANT GENE THERAPIES LTD,COM,G0750W203,2493,1021566,SH,SOLE, ,1021566,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,AXGT
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,958,479051,SH,SOLE, ,479051,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,BCRX
BIOHAVEN PHARMACEUTICALS HOLD,COM,G11196105,3083,90600,SH,SOLE, ,90600,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,BHVN
BIOTELEMETRY INC,COM,090672106,2330,60500,SH,SOLE, ,60500,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,BEAT
BIOXCEL THERAPEUTICS INC,COM,09075P105,103,4614,SH,SOLE, ,4614,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,BTAI
BLUEBIRD BIO INC,COM,09609G100,1172,25500,SH,SOLE, ,25500,0,0,0001389933,03-31-2020,13F-HR,false,DAFNA Capital Management LLC,05-15-2020,BLUE
