nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ADAMAS PHARMACEUTICALS INC,COM,00548A106,1940,757704,SH,SOLE,757704,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,ADMS
APOLLO ENDOSURGERY INC,COM,03767D108,2367,1447765,SH,SOLE,1447765,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,APEN
BRICKELL BIOTECH INC,COM,10802T105,147,146739,SH,SOLE,146739,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,
CATALYST BIOSCIENCES INC,COM NEW,14888D208,3214,547541,SH,SOLE,547541,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,CBIO
CERECOR INC,COM,15671L109,1171,450500,SH,SOLE,450500,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,CERC
CUMBERLAND PHARMACEUTICALS,COM,230770109,2253,676592,SH,SOLE,676592,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,CPIX
CTI BIOPHARMA CORP,COM,12648L601,4719,4068191,SH,SOLE,4068191,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,CTIC
DIAMEDICA THERAPEUTICS INC,COM NEW,25253X207,4632,668430,SH,SOLE,668430,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,DMAC
IVERIC BIO INC,COM,46583P102,13972,2739641,SH,SOLE,2739641,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,ISEE
LIGAND PHARMACEUTICALS,COM NEW,53220K504,10336,92407,SH,SOLE,92407,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,LGND
NEOS THERAPEUTICS INC,COM,64052L106,3046,4447026,SH,SOLE,4447026,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,NEOS
PROGENITY INC,COM,74319F107,865,96135,SH,SOLE,96135,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,PROG
XOMA CORP,COM NEW,98419J206,2968,150213,SH,SOLE,150213,0,0,0001440771,06-30-2020,13F-HR,false,"Stonepine Capital Management, LLC",08-13-2020,XOMA
