nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
"Aerie Pharmaceuticals, Inc.",COM,00771V108,3074,227717,SH,SOLE,227717,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,AERI
Biohaven Pharmaceutical Holding Company Ltd.,COM,G11196105,5321,156355,SH,SOLE,156355,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,BHVN
"bluebird bio, Inc.",COM,09609G100,2298,50000,SH,SOLE,50000,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,BLUE
Cytokinetics Incorporated,COM,23282W605,25670,2177292,SH,SOLE,2177292,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,CYTK
"Fulcrum Therapeutics, Inc.",COM,359616109,11924,998655,SH,SOLE,998655,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,FULC
Insmed Incorporated,COM,457669307,10874,678322,SH,SOLE,678322,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,INSM
"Kiniksa Pharmaceuticals, Ltd.",COM,G5269C101,1006,65000,SH,SOLE,65000,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,KNSA
"Kura Oncology, Inc.",COM,50127T109,925,93000,SH,SOLE,93000,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,KURA
"Myokardia, Inc.",COM,62857M105,14411,307400,SH,SOLE,307400,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,MYOK
uniQure N.V.,SHS,N90064101,905,19082,SH,SOLE,19082,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,QURE
"Voyager Therapeutics, Inc.",COM,92915B106,4728,516751,SH,SOLE,516751,0,0,0001704132,03-31-2020,13F-HR/A,true,"Foresite Capital Management IV, LLC",05-28-2020,VYGR
