nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ANAPTYSBIO INC,COM,032724106,32369,2290827,SH,OTR,1,0,2290827,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,ANAB
AVROBIO INC,COM,05455M100,15560,1000000,SH,OTR,1,0,1000000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,AVRO
BIO RAD LABS INC,CL A,090572207,28045,80000,SH,OTR,1,0,80000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,
CHIMERIX INC,COM,16934W106,621,431273,SH,OTR,1,0,431273,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,CMRX
COHERUS BIOSCIENCES INC,COM,19249H103,5677,350000,SH,OTR,1,0,350000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,CHRS
CYTOMX THERAPEUTICS INC,COM,23284F105,2301,300000,SH,OTR,1,0,300000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,CTMX
EAGLE PHARMACEUTICALS INC,COM,269796108,11758,255616,SH,OTR,1,0,255616,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,EGRX
ENANTA PHARMACEUTICALS INC,COM,29251M106,693,13483,SH,OTR,1,0,13483,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,ENTA
EVOLUS INC,COM,30052C107,13674,3295000,SH,OTR,1,0,3295000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,EOLS
G1 THERAPEUTICS INC,COM,3621LQ109,1873,170000,SH,OTR,1,0,170000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,GTHX
HERON THERAPEUTICS INC,COM,427746102,34010,2896904,SH,OTR,1,0,2896904,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,HRTX
INTRA CELLULAR THERAPIES INC,COM,46116X101,637,41444,SH,OTR,1,0,41444,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,
LA JOLLA PHARMACEUTICAL CO,COM,503459604,33937,8080345,SH,OTR,1,0,8080345,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,LJPC
LIFESCI ACQUISITION CORP,UNIT 03/31/2025,53228P208,4999,500000,SH,OTR,1,0,500000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,
NUCANA PLC,SPONSORED ADR,67022C106,583,100000,SH,OTR,1,0,100000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,NCNA
ODONATE THERAPEUTICS INC,COM,676079106,388618,14075269,SH,OTR,1,0,14075269,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,ODT
PROTHENA CORP PLC,SHS,G72800108,4535,423823,SH,OTR,1,0,423823,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,PRTA
PUMA BIOTECHNOLOGY INC,COM,74587V107,6752,800000,SH,OTR,1,0,800000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,PBYI
RADIUS HEALTH INC,COM NEW,750469207,3900,300000,SH,OTR,1,0,300000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,RDUS
RELMADA THERAPEUTICS INC,COM,75955J402,44343,1300000,SH,OTR,1,0,1300000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,RLMD
ROCKET PHARMACEUTICALS INC,COM,77313F106,41369,2965485,SH,OTR,1,0,2965485,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,RCKT
SANGAMO THERAPEUTICS INC,COM,800677106,12950,2032980,SH,OTR,1,0,2032980,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,SGMO
UNITED PARCEL SERVICE INC,CL B,911312106,93,1000,SH,OTR,1,0,1000,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,
UNITED THERAPEUTICS CORP DEL,COM,91307C102,19763,208415,SH,OTR,1,0,208415,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,UTHR
VANDA PHARMACEUTICALS INC,COM,921659108,3106,299800,SH,OTR,1,0,299800,0,0001232621,03-31-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,05-15-2020,VNDA
