nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACCELERON PHARMA INC,COM,00434H108,57162,600000,SH,DFND,1,600000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,XLRN
AGENUS INC,COM NEW,00847G705,43230,11000000,SH,DFND,1,11000000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AGEN
AKERO THERAPEUTICS INC,COM,00973Y108,14766,592539,SH,DFND,1,592539,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AKRO
AKOUOS INC,COM,00973J101,10670,499990,SH,DFND,1,499990,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AKUS
ALLAKOS INC,COM,01671P100,14193,197515,SH,DFND,1,197515,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ALLK
AMARIN CORP PLC,SPONS ADR NEW,023111206,4152,600000,SH,DFND,1,600000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AMRN
ANAPTYSBIO INC,COM,032724106,19790,885838,SH,DFND,1,885838,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ANAB
APELLIS PHARMACEUTICALS INC,COM,03753U106,67479,2066108,SH,DFND,1,2066108,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,APLS
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,37392,800000,SH,DFND,1,800000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ARCT
ARENA PHARMACEUTICALS INC,COM NEW,040047607,4721,75000,SH,DFND,1,75000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ARNA
ARGENX SE,SPONSORED ADR,04016X101,15766,70000,SH,DFND,1,70000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ARGX
ARYA SCIENCES ACQUISITION CO,UNIT 06/09/2027,G31655114,4640,400000,SH,DFND,1,400000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,25883,175000,SH,DFND,1,175000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,ASND
ATRECA INC,CL A COM,04965G109,6838,321322,SH,DFND,1,321322,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BCEL
AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,7694,479988,SH,DFND,1,479988,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AUTL
AVEO PHARMACEUTICALS INC,COM NEW,053588307,6953,1350000,SH,DFND,1,1350000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AVEO
AVIDITY BIOSCIENCES INC,COM,05370A108,67804,2514547,SH,DFND,1,2514547,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,RNA
AVROBIO INC,COM,05455M100,5542,317579,SH,DFND,1,317579,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AVRO
AXONICS MODULATION TECHNOLOG,COM,05465P101,25293,720397,SH,DFND,1,720397,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AXNX
AXSOME THERAPEUTICS INC,COM,05464T104,28798,350000,SH,DFND,1,350000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,AXSM
BEAM THERAPEUTICS INC,COM,07373V105,22036,796429,SH,DFND,1,796429,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BEAM
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,43866,600000,SH,DFND,1,600000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BHVN
BIONTECH SE,SPONSORED ADS,09075V102,11680,175000,SH,DFND,1,175000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BNTX
BLUEPRINT MEDICINES CORP,COM,09627Y109,27300,350000,SH,DFND,1,350000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BPMC
BRIDGEBIO PHARMA INC,COM,10806X102,84485,2590762,SH,DFND,1,2590762,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BBIO
BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,6753,250000,SH,DFND,1,250000,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,BNR
CABALETTA BIO INC,COM,12674W109,23459,2105844,SH,DFND,1,2105844,0,0,0001583977,06-30-2020,13F-HR,false,"Cormorant Asset Management, LP",08-14-2020,,CABA
