nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ANAPTYSBIO INC ,COM,032724106,20334,1439079,SH,SOLE,1439079,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,ANAB
ARROWHEAD PHARMACEUTICALS IN ,COM,04280A100,12559,436514,SH,SOLE,436514,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,ARWR
DICERNA PHARMACEUTICALS INC ,COM,253031108,22731,1237379,SH,SOLE,1237379,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,DRNA
GALAPAGOS NV ,SPON ADR,36315X101,8666,44234,SH,SOLE,44234,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,GLPG
MERUS N V ,COM,N5749R100,9319,770183,SH,SOLE,770183,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,MRUS
MORPHOSYS AG ,SPONSORED ADS,617760202,2356,95898,SH,SOLE,95898,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,MOR
NGM BIOPHARMACEUTICALS INC ,COM,62921N105,12912,1047184,SH,SOLE,1047184,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,NGM
PIERIS PHARMACEUTICALS INC ,COM,720795103,12712,5575530,SH,SOLE,5575530,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,PIRS
PROQR THRAPEUTICS N V ,SHS EURO,N71542109,13185,2401570,SH,SOLE,2401570,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,PRQR
REGENXBIO INC ,COM,75901B107,8847,273211,SH,SOLE,273211,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,RGNX
SPDR SER TR ,SP BIOTECH,78464A870,77440,1000000,SH,SOLE,0,0,1000000,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,Put,
SPERO THERAPEUTICS INC ,COM,84833T103,14691,1818140,SH,SOLE,1818140,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,SPRO
UNIQURE NV ,SHS,N90064101,23819,501975,SH,SOLE,501975,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,QURE
XENON PHARMACEUTICALS INC ,COM,98420N105,17010,1499970,SH,SOLE,1499970,0,0,0001591986,03-31-2020,13F-HR,false,"Aquilo Capital Management, LLC",05-15-2020,,XENE
