nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABEONA THERAPEUTICS INC,COM,00289Y107,21026,7213012,SH,DFND,"1,2",7213012,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,ABEO
ACADIA PHARMACEUTICALS INC,COM,004225108,87488,1804993,SH,DFND,"1,2",1804993,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,ACAD
ACCELERON PHARMA INC,COM,00434H108,5531,58056,SH,DFND,"1,2",58056,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,XLRN
AKEBIA THERAPEUTICS INC,COM,00972D105,47667,3510073,SH,DFND,"1,2",3510073,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,AKBA
ARENA PHARMACEUTICALS INC,COM NEW,040047607,81986,1302399,SH,DFND,"1,2",1302399,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,ARNA
ARVINAS INC,COM,04335A105,6825,203500,SH,DFND,"1,2",203500,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,Call,ARVN
AXONICS MODULATION TECHNOLOG,COM,05465P101,16133,459503,SH,DFND,"1,2",459503,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,AXNX
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,61478,840900,SH,DFND,"1,2",840900,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,BHVN
CALITHERA BIOSCIENCES INC,COM,13089P101,11942,2261700,SH,DFND,"1,2",2261700,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,CALA
CONSTELLATION PHARMCETICLS I,COM,210373106,104574,3480000,SH,DFND,"1,2",3480000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,CNST
CYTOKINETICS INC,COM NEW,23282W605,35841,1520635,SH,DFND,"1,2",1520635,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,CYTK
CYTOMX THERAPEUTICS INC,COM,23284F105,12067,1448604,SH,DFND,"1,2",1448604,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,CTMX
DENALI THERAPEUTICS INC,COM,24823R105,6770,280000,SH,DFND,"1,2",280000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,DNLI
GERON CORP,COM,374163103,33568,15398079,SH,DFND,"1,2",15398079,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,GERN
GLAUKOS CORP,COM,377322102,19210,500000,SH,DFND,"1,2",500000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,GKOS
GLOBAL BLOOD THERAPEUTICS IN,COM,37890U108,34229,542200,SH,DFND,"1,2",542200,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,GBT
GW PHARMACEUTICALS PLC,ADS,36197T103,55224,450000,SH,DFND,"1,2",450000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,GWPH
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,102251,3724976,SH,DFND,"1,2",3724976,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,IOVA
KADMON HLDGS INC,COM,48283N106,3459,675679,SH,DFND,"1,2",675679,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,KDMN
LIQUIDIA TECHNOLOGIES INC,COM,53635D202,10760,1277955,SH,DFND,"1,2",1277955,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,LQDA
MACROGENICS INC,COM,556099109,41880,1500000,SH,DFND,"1,2",1500000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,MGNX
MILLENDO THERAPEUTICS INC,COM,60040X103,2571,1460697,SH,DFND,"1,2",1460697,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,MLND
MOLECULAR TEMPLATES INC,COM,608550109,18553,1345397,SH,DFND,"1,2",1345397,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,MTEM
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,233,14065,SH,DFND,"1,2",14065,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,NLTX
NEXTCURE INC,COM,65343E108,21433,999666,SH,DFND,"1,2",999666,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,NXTC
OYSTER PT PHARMA INC,COM,69242L106,6199,214631,SH,DFND,"1,2",214631,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,OYST
PROTHENA CORP PLC,SHS,G72800108,21787,2082841,SH,DFND,"1,2",2082841,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,PRTA
PTC THERAPEUTICS INC,COM,69366J200,16744,330000,SH,DFND,"1,2",330000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,PTCT
PUMA BIOTECHNOLOGY INC,COM,74587V107,965,92502,SH,DFND,"1,2",92502,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,PBYI
SAGE THERAPEUTICS INC,COM,78667J108,87416,2102368,SH,DFND,"1,2",2102368,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,SAGE
SANGAMO THERAPEUTICS INC,COM,800677106,14156,1579891,SH,DFND,"1,2",1579891,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,SGMO
TG THERAPEUTICS INC,COM,88322Q108,64689,3320808,SH,DFND,"1,2",3320808,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,TGTX
UNITED THERAPEUTICS CORP DEL,COM,91307C102,75020,620000,SH,DFND,"1,2",620000,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,UTHR
VERICEL CORP,COM,92346J108,22252,1610154,SH,DFND,"1,2",1610154,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,VCEL
VIEWRAY INC,COM,92672L107,6213,2773811,SH,DFND,"1,2",2773811,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,VRAY
ZYMEWORKS INC,COM,98985W102,92869,2574688,SH,DFND,"1,2",2574688,0,0,0001281446,06-30-2020,13F-HR,false,GREAT POINT PARTNERS LLC,08-14-2020,,ZYME
