nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
1LIFE HEALTHCARE INC,COM,68269G107,7948,218844,SH,SOLE,218844,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ONEM
ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,4004,400000,SH,SOLE,400000,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ADAP
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,23222,480000,SH,SOLE,480000,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,
ADMA BIOLOGICS INC,COM,000899104,48593,16584802,SH,SOLE,16584802,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ADMA
AGILE THERAPEUTICS INC,COM,00847L100,44257,15919925,SH,SOLE,15919925,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AGRX
AGIO PHARMACEUTICALS  INC,COM,00847X104,48132,900000,SH,SOLE,900000,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AGIO
AKEBIA THERAPEUTICS INC,COM,00972D105,716,52724,SH,SOLE,52724,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AKBA
ALBIREO PHARMA INC,COM,01345P106,51924,1960139,SH,SOLE,1960139,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ALBO
ALDEYRA THERAPEUTICS INC,COM,01438T106,12866,3085458,SH,SOLE,3085458,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ALDX
ALECTOR INC,COM,014442107,12507,511731,SH,SOLE,511731,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ALEC
ALLOGENE THERAPEUTICS INC,COM,019770106,66105,1543790,SH,SOLE,1543790,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ALLO
ALPHATEC HLDGS INC,COM NEW,02081G201,2639,561574,SH,SOLE,561574,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ATEC
AMICUS THERAPEUTICS INC,COM,03152W109,379750,25182364,SH,SOLE,25182364,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,FOLD
AMYRIS INC,COM NEW,03236M200,6449,1844612,SH,SOLE,1844612,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,
APELLIS PHARMACEUTICALS INC,COM,03753U106,373,11418,SH,SOLE,11418,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,APLS
AQUESTIVE THERAPEUTICS INC,COM,03843E104,8505,1750000,SH,SOLE,1750000,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AQST
ARENA PHARMACEUTICALS INC,COM NEW,040047607,68938,1095129,SH,SOLE,1095129,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ARNA
ATHENEX INC,COM,04685N103,155935,11532467,SH,SOLE,11532467,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ATNX
ATRICURE INC,COM,04963C209,23768,528776,SH,SOLE,528776,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,ATRC
AVADEL PHARMACEUTICALS PLC,SPONSORED ADR,05337M104,133,8681,SH,SOLE,8681,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AVDL
AVIDITY BIOSCIENCES INC,COM,05370A108,31613,1235818,SH,SOLE,1235818,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,RNA
AXSOME THERAPEUTICS INC,COM,05464T104,4114,50000,SH,SOLE,50000,0,0,0001224962,06-30-2020,13F-HR/A,true,PERCEPTIVE ADVISORS LLC,08-17-2020,,AXSM
