nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABBOTT LABS,COM,002824100,6738,73698,SH,SOLE,73698,0,0,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ABT
ABBVIE INC,COM,00287Y109,10284,104750,SH,SOLE,104750,0,0,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ABBV
ABIOMED INC,COM,003654100,1643,6800,SH,SOLE,0,0,6800,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ABMD
ACADIA PHARMACEUTCLS,COM,004225108,16609,342663,SH,SOLE,35450,0,307213,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ACAD
ACCELERON PHARMA,COM,00434H108,667,7000,SH,SOLE,0,0,7000,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,XLRN
AGIOS PHARMACEUTIC,COM,00847X104,503,9400,SH,SOLE,0,0,9400,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,AGIO
ALEXION PHARM INC,COM,015351109,14117,125776,SH,SOLE,13500,0,112276,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALXN
ALIGN TECH INC,COM,016255101,3293,12000,SH,SOLE,0,0,12000,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALGN
ALKERMES PLC,SHS,G01767105,472,24300,SH,SOLE,0,0,24300,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALKS
ALLAKOS INC,COM,01671P100,266,3700,SH,SOLE,0,0,3700,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALLK
ALLOGENE THERAPEUT,COM,019770106,317,7400,SH,SOLE,0,0,7400,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALLO
ALNYLAM PHARMACUETCL,COM,02043Q107,2607,17600,SH,SOLE,0,0,17600,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,ALNY
AMEDISYS INC,COM,023436108,3142,15825,SH,SOLE,0,0,15825,0001274413,06-30-2020,13F-HR,false,Sectoral Asset Management Inc,08-13-2020,AMED
