nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ANAPTYSBIO INC ,COM,032724106,35537,1590733,SH,SOLE,1590733,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,ANAB
ARGENX SE ,SPONSORED ADR,04016X101,8063,35800,SH,SOLE,35800,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,ARGX
ARROWHEAD PHARMACEUTICALS IN ,COM,04280A100,24329,563291,SH,SOLE,563291,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,ARWR
BLUEPRINT MEDICINES CORP ,COM,09627Y109,24572,315029,SH,SOLE,315029,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,BPMC
DICERNA PHARMACEUTICALS INC ,COM,253031108,36949,1454686,SH,SOLE,1454686,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,DRNA
GALAPAGOS NV ,SPON ADR,36315X101,8727,44234,SH,SOLE,44234,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,GLPG
MORPHOSYS AG ,SPONSORED ADS,617760202,3037,95898,SH,SOLE,95898,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,MOR
NGM BIOPHARMACEUTICALS INC ,COM,62921N105,21619,1095184,SH,SOLE,1095184,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,NGM
PIERIS PHARMACEUTICALS INC ,COM,720795103,17284,5575530,SH,SOLE,5575530,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,PIRS
PROQR THRAPEUTICS N V ,SHS EURO,N71542109,14602,2401570,SH,SOLE,2401570,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,PRQR
REGENXBIO INC ,COM,75901B107,20384,553453,SH,SOLE,553453,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,RGNX
SPDR SER TR SP BIOTECH,UNIT,78464A870,223900,2000000,SH,SOLE,0,0,2000000,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,Put,
SPERO THERAPEUTICS INC ,COM,84833T103,26290,1943081,SH,SOLE,1943081,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,SPRO
UNIQURE NV ,SHS,N90064101,30624,679620,SH,SOLE,679620,0,0,0001591986,06-30-2020,13F-HR,false,"Aquilo Capital Management, LLC",08-14-2020,,QURE
