nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACCELERON PHARMA INC,COM,00434H108,74143,825000,SH,DFND,1,825000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,XLRN
AGENUS INC ,COM NEW,00847G705,29827,12174486,SH,DFND,1,12174486,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AGEN
AKERO THERAPEUTICS INC,COM,00973Y108,13622,642539,SH,DFND,1,642539,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AKRO
ALLAKOS INC,COM,01671P100,8898,200000,SH,DFND,1,200000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ALLK
AMARIN CORP PLC,SPONS ADR NEW,023111206,3600,900000,SH,DFND,1,900000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AMRN
ANAPTYSBIO INC,COM,032724106,15655,1107900,SH,DFND,1,1107900,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ANAB
APELLIS PHARMACEUTICALS INC,COM,03753U106,60709,2266108,SH,DFND,1,2266108,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,APLS
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,3561,262037,SH,DFND,1,262037,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ARCT
ARENA PHARMACEUTICALS INC,COM NEW,040047607,4200,100000,SH,DFND,1,100000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ARNA
ARGENX SE,SPONSORED ADR,04016X101,10538,80000,SH,DFND,1,80000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ARGX
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,28153,250000,SH,DFND,1,250000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,ASND
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,39414,350000,SH,DFND,1,350000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,Call,ASND
ATRECA INC,CL A COM,04965G109,5398,326139,SH,DFND,1,326139,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,BCEL
AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,2875,479988,SH,DFND,1,479988,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AUTL
AVROBIO INC,COM,05455M100,4942,317579,SH,DFND,1,317579,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AVRO
AXONICS MODULATION TECHNOLOG,COM,05465P101,20328,800000,SH,DFND,1,800000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AXNX
AXSOME THERAPEUTICS INC,COM,05464T104,29415,500000,SH,DFND,1,500000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,AXSM
BEAM THERAPEUTICS INC,COM,07373V105,14336,796429,SH,DFND,1,796429,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,BEAM
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,29795,875551,SH,DFND,1,875551,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,BHVN
BLUEPRINT MEDICINES CORP,COM,09627Y109,26316,450000,SH,DFND,1,450000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,BPMC
BRIDGEBIO PHARMA INC,COM,10806X102,85550,2950000,SH,DFND,1,2950000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,BBIO
CABALETTA BIO INC,COM,12674W109,15373,2105846,SH,DFND,1,2105846,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,CABA
CHEMOCENTRYX INC,COM,16383L106,81365,2025000,SH,DFND,1,2025000,0,0,0001583977,03-31-2020,13F-HR,false,"Cormorant Asset Management, LP",05-15-2020,,CCXI
