nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
1LIFE HEALTHCARE INC,COM,68269G107,109348,3010684,SH,SOLE,3010684,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ONEM
ADC THERAPEUTICS SA,SHS,H0036K147,258666,5525870,SH,SOLE,5525870,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ADCT
AKERO THERAPEUTICS INC,COM,00973Y108,9772,392152,SH,SOLE,392152,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,AKRO
ALLAKOS INC,COM,01671P100,188207,2619080,SH,SOLE,2619080,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ALLK
AMEDISYS INC,COM,023436108,44903,226165,SH,SOLE,226165,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,AMED
AMICUS THERAPEUTICS INC,COM,03152W109,376166,24944695,SH,SOLE,24944695,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,FOLD
APREA THERAPEUTICS INC,COM,03836J102,87981,2268718,SH,SOLE,2268718,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,APRE
ARDELYX INC,COM,039697107,24318,3514100,SH,SOLE,3514100,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ARDX
ARGENX SE,SPONSORED ADR,04016X101,233083,1034868,SH,SOLE,1034868,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ARGX
ATARA BIOTHERAPEUTICS INC,COM,046513107,99708,6843370,SH,SOLE,6843370,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,ATRA
ATRECA INC,CL A COM,04965G109,21111,992068,SH,SOLE,992068,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BCEL
AXONICS MODULATION TECHNOLOG,COM,05465P101,41855,1192100,SH,SOLE,1192100,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,AXNX
AYALA PHARMACEUTICALS INC,COM,05465V108,6687,666666,SH,SOLE,666666,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,AYLA
BEAM THERAPEUTICS INC,COM,07373V105,93995,3356958,SH,SOLE,3356958,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BEAM
BIOGEN INC,COM,09062X103,43423,162300,SH,SOLE,162300,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BIIB
BIONTECH SE,SPONSORED ADS,09075V102,204836,3069164,SH,SOLE,3069164,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BNTX
BOSTON SCIENTIFIC CORP,COM,101137107,31506,897355,SH,SOLE,897355,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BSX
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,8832,2467000,SH,SOLE,2467000,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,
BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,3617,133931,SH,SOLE,133931,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,BNR
CABALETTA BIO INC,COM,12674W109,15884,1425896,SH,SOLE,1425896,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,CABA
CASTLIGHT HEALTH INC,CL B,14862Q100,8,10229,SH,SOLE,10229,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,
CATALENT INC,COM,148806102,30280,413100,SH,SOLE,413100,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,CTLT
CELLDEX THERAPEUTICS INC NEW,COM NEW,15117B202,26000,2000000,SH,SOLE,2000000,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,CLDX
CIGNA CORP NEW,COM,125523100,91217,486100,SH,SOLE,486100,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,CI
CRYOPORT INC,COM PAR $0.001,229050307,54984,1817663,SH,SOLE,1817663,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,
CYMABAY THERAPEUTICS INC,COM,23257D103,5844,1674447,SH,SOLE,1674447,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,CBAY
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,297342,4978941,SH,SOLE,4978941,0,0,0001425738,06-30-2020,13F-HR,false,"Redmile Group, LLC",08-14-2020,DCPH
