nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACTINIUM PHARMACEUTICALS INC,COM,00507W107,2864,8147650,SH,SOLE,8147650,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ATNM
AEGLEA BIO THERAPEUTICS INC,COM,00773J103,1953,211104,SH,SOLE,211104,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,AGLE
AFFIMED NV,COM,N01045108,4306,933150,SH,SOLE,933150,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,AFMD
AMERISOURCEBERGEN CORP,COM,03073E105,10132,100545,SH,SOLE,100545,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ABC
ANIKA THERAPEUTICS INC,COM,035255108,1359,36032,SH,SOLE,36032,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ANIK
ANTHEM INC,COM,036752103,8368,31819,SH,SOLE,31819,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ANTM
ARAVIVE INC,COM,03890D108,796,68373,SH,SOLE,68373,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ARAV
ARDELYX INC,COM,039697107,4163,601534,SH,SOLE,601534,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ARDX
ARENA PHARMACEUTICALS INC,COM NEW,040047607,5990,95153,SH,SOLE,95153,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ARNA
ASLAN PHARMACEUTICALS LTD,ADS,04522R101,2754,1376954,SH,SOLE,1376954,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ASLN
ATRECA INC,CL A COM,04965G109,458,21523,SH,SOLE,21523,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,BCEL
AYALA PHARMACEUTICALS INC,COM,05465V108,1157,114546,SH,SOLE,114546,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,AYLA
BELLICUM PHARMACEUTICALS INC,COM NEW,079481404,58,7751,SH,SOLE,7751,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,BLCM
BIOGEN INC,COM,09062X103,3692,13800,SH,SOLE,13800,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,BIIB
BIOGEN INC,COM,09062X103,3692,13800,SH,SOLE,13800,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,BIIB
BIONANO GENOMICS INC,COM,09075F107,789,1546184,SH,SOLE,1546184,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,BNGO
BOSTON SCIENTIFIC CORP,COM,101137107,3934,112036,SH,SOLE,112036,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,BSX
BRISTOL-MYERS SQUIBB CO,RIGHT,110122157,6155,1719271,SH,SOLE,1719271,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
CARDINAL HEALTH INC,COM,14149Y108,6967,133500,SH,SOLE,133500,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CAH
CATALYST BIOSCIENCES INC,COM NEW,14888D208,1166,198714,SH,SOLE,198714,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CBIO
CELLECTAR BIOSCIENCES INC,COM PAR,15117F500,243,189457,SH,SOLE,189457,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CLRB
CEL-SCI CORP,COM PAR NEW,150837607,4937,330900,SH,SOLE,330900,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,
CERECOR INC,COM,15671L109,2600,1000000,SH,SOLE,1000000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CERC
CHARDAN HEALTHCARE ACQUISITION 2 CORP,COM,15957T206,4200,400000,SH,SOLE,400000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
COHERUS BIOSCIENCES INC,COM,19249H103,20287,1135863,SH,SOLE,1135863,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CHRS
CURIS INC,COM NEW,231269200,5203,4300051,SH,SOLE,4300051,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CRIS
CYMABAY THERAPEUTICS INC,COM,23257D103,8027,2299982,SH,SOLE,2299982,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CBAY
DYADIC INTERNATIONAL INC,COM,26745T101,1810,209064,SH,SOLE,209064,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,DYAI
ELI LILLY AND CO,COM,532457108,7536,45901,SH,SOLE,45901,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
ESPERION THERAPEUTICS INC,COM,29664W105,3161,61600,SH,SOLE,61600,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,ESPR
FUSION PHARMACEUTICALS INC,COM,36118A100,52,3000,SH,SOLE,3000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,FUSN
GW PHARMACEUTICALS PLC,ADS,36197T103,11656,94984,SH,SOLE,94984,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,GWPH
HARROW HEALTH INC,COM,415858109,1243,238623,SH,SOLE,238623,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,HROW
HCA HEALTHCARE INC,COM,40412C101,7933,81732,SH,SOLE,81732,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,HCA
HILL-ROM HOLDINGS INC,COM,431475102,9880,90000,SH,SOLE,90000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
IDEAYA BIOSCIENCES INC,COM,45166A102,782,55000,SH,SOLE,55000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,IDYA
I-MAB,SPONSORED ADS,44975P103,3544,118409,SH,SOLE,118409,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
IMMUNOVANT INC,COM,45258J102,3712,152450,SH,SOLE,152450,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
INOGEN INC,COM,45780L104,1918,54000,SH,SOLE,54000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,INGN
KADMON HOLDINGS INC,COM,48283N106,269,52500,SH,SOLE,52500,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,KDMN
KODIAK SCIENCES INC,COM,50015M109,1115,20595,SH,SOLE,20595,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,KOD
KURA ONCOLOGY INC,COM,50127T109,696,42683,SH,SOLE,42683,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,KURA
LARIMAR THERAPEUTICS INC,COM,517125100,4090,318258,SH,SOLE,318258,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,LRMR
LEAP THERAPEUTICS INC,COM,52187K101,3139,1501998,SH,SOLE,1501998,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,LPTX
LIFESCI ACQUISITION CORP,UNIT 03/31/2025,53228P208,2310,210000,SH,SOLE,210000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
MCKESSON CORP,COM,58155Q103,14925,97285,SH,SOLE,97285,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,CAKFF
MEI PHARMA INC,COM NEW,55279B202,198,48047,SH,SOLE,48047,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,MEIP
MERCK  CO INC,COM,58933Y105,8843,114350,SH,SOLE,114350,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,MRK
MERSANA THERAPEUTICS INC,COM,59045L106,8700,371781,SH,SOLE,371781,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,MRSN
MESOBLAST LTD,SPONS ADR,590717104,7303,641200,SH,SOLE,641200,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,MEOBF
MINERVA NEUROSCIENCES INC,COM,603380106,878,243300,SH,SOLE,243300,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,NERV
MOLINA HEALTHCARE INC,COM,60855R100,10111,56807,SH,SOLE,56807,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,MOH
MORPHIC HOLDING INC,COM,61775R105,1228,45386,SH,SOLE,45386,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,MORF
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,636,38312,SH,SOLE,38312,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,NLTX
NEUBASE THERAPEUTICS INC,COM,64132K102,1575,179404,SH,SOLE,179404,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,NBSE
ORASURE TECHNOLOGIES INC,COM,68554V108,5350,460000,SH,SOLE,460000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,OSUR
ORTHOFIX MEDICAL INC,COM,68752M108,6141,191891,SH,SOLE,191891,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,OFIX
PRECISION BIOSCIENCES INC,COM,74019P108,1541,185053,SH,SOLE,185053,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,DTIL
PROGYNY INC,COM,74340E103,1015,39310,SH,SOLE,39310,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
QUANTERIX CORP,COM,74766Q101,3996,145907,SH,SOLE,145907,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,QTRX
R1 RCM INC,COM,749397105,8508,763023,SH,SOLE,763023,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
RADIUS HEALTH INC,COM NEW,750469207,4940,362402,SH,SOLE,362402,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,RDUS
RADNET INC,COM,750491102,2146,135254,SH,SOLE,135254,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,RDNT
RAPT THERAPEUTICS INC,COM,75382E109,415,14298,SH,SOLE,14298,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,RAPT
SERES THERAPEUTICS INC,COM,81750R102,264,55500,SH,SOLE,55500,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,MCRB
SOLITON INC,COM,834251100,7975,1025000,SH,SOLE,1025000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,SOLY
SPDR GOLD SHARES,GOLD SHS,78463V107,20202,120702,SH,SOLE,120702,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
SUTRO BIOPHARMA INC,COM,869367102,1152,148400,SH,SOLE,148400,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,STRO
SYROS PHARMACEUTICALS INC,COM,87184Q107,2909,272902,SH,SOLE,272902,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,SYRS
TEVA PHARMACEUTICAL INDUSTRIES LTD,SPONSORED ADS,881624209,11871,962796,SH,SOLE,962796,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,TEVA
TRILLIUM THERAPEUTICS INC,COM NEW,89620X506,702,86757,SH,SOLE,86757,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,TRIL
UNITED THERAPEUTICS CORP,COM,91307C102,7890,65210,SH,SOLE,65210,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,UTHR
VANDA PHARMACEUTICALS INC,COM,921659108,1649,144114,SH,SOLE,144114,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,VNDA
VAPOTHERM INC,COM,922107107,3113,75953,SH,SOLE,75953,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,VAPO
VIEWRAY INC,COM,92672L107,2900,1294790,SH,SOLE,1294790,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,VRAY
VIKING THERAPEUTICS INC,COM,92686J106,5118,709780,SH,SOLE,709780,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,VKTX
WALGREENS BOOTS ALLIANCE INC,COM,931427108,5265,124194,SH,SOLE,124194,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,,
ZYNERBA PHARMACEUTICALS INC,COM,98986X109,2120,629000,SH,SOLE,629000,0,0,0001482416,06-30-2020,13F-HR,false,"Sio Capital Management, LLC",08-14-2020,Put,ZYNE
