nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,othermanager,putcall,ticker
10X GENOMICS INC,CL A COM,88025U109,5777,92700,SH,SOLE,0,0,92700,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,TXG
89BIO INC,COM,282559103,101112,4004442,SH,SOLE,4004442,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ETNB
ABBVIE INC,COM,00287Y109,17448,229000,SH,DFND,32100,0,196900,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ABBV
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,25326,1380160,SH,DFND,164500,0,1215660,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ACHC
ACCELERON PHARMA INC,COM,00434H108,23146,257549,SH,DFND,18500,0,239049,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,XLRN
ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,6870,2525654,SH,SOLE,2525654,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ADAP
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,33713,3450644,SH,DFND,371397,0,3079247,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ADVM
AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,13353,2865524,SH,SOLE,2865524,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,AGLE
AERPIO PHARMACEUTICALS INC,COM,00810B105,2856,5193946,SH,SOLE,5193946,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ARPO
AGILE THERAPEUTICS INC,COM,00847L100,2232,1200000,SH,DFND,400000,0,800000,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,AGRX
AGIOS PHARMACEUTICALS INC,COM,00847X104,58638,1652696,SH,DFND,191400,0,1461296,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,AGIO
AGIOS PHARMACEUTICALS INC,COM,00847X104,8870,250000,SH,DFND,79500,0,170500,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,Call,AGIO
ALCON INC,ORD SHS,H01301128,17946,351380,SH,DFND,125800,0,225580,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ALC
ALECTOR INC,COM,014442107,200947,8327691,SH,SOLE,8327691,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ALEC
ALEXION PHARMACEUTICALS INC,COM,015351109,185990,2071385,SH,DFND,336100,0,1735285,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ALXN
ALPINE IMMUNE SCIENCES INC,COM,02083G100,10572,3670955,SH,SOLE,3670955,0,0,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,ALPN
AMGEN INC,COM,031162100,21327,105200,SH,SOLE,0,0,105200,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,AMGN
ANAPTYSBIO INC,COM,032724106,5310,375800,SH,DFND,35200,0,340600,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,ANAB
APELLIS PHARMACEUTICALS INC,COM,03753U106,1352,50485,SH,SOLE,0,0,50485,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,,,APLS
APPLIED THERAPEUTICS INC,COM,03828A101,43147,1319877,SH,DFND,60832,0,1259045,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,APLT
APTINYX INC,COM,03836N103,2510,1162108,SH,DFND,170100,0,992008,0001055951,03-31-2020,13F-HR,false,ORBIMED ADVISORS LLC,05-15-2020,1,,APTX
