nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABEONA THERAPEUTICS INC,COM,00289Y107,15147,7213012,SH,DFND,"1,2",7213012,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ABEO
ABIOMED INC,COM,003654100,31375,216144,SH,DFND,"1,2",216144,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ABMD
ACADIA PHARMACEUTICALS INC,COM,004225108,84320,1995747,SH,DFND,"1,2",1995747,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ACAD
ACCELERON PHARMA INC,COM,00434H108,48137,535627,SH,DFND,"1,2",535627,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,XLRN
ARENA PHARMACEUTICALS INC,COM NEW,040047607,16275,387499,SH,DFND,"1,2",387499,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ARNA
ARVINAS INC,COM,04335A105,4769,118330,SH,DFND,"1,2",118330,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,ARVN
ARVINAS INC,COM,04335A105,4171,103500,SH,DFND,"1,2",103500,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,Call,ARVN
AXONICS MODULATION TECHNOLOG,COM,05465P101,13796,542929,SH,DFND,"1,2",542929,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,AXNX
AXSOME THERAPEUTICS INC,COM,05464T104,5889,100100,SH,DFND,"1,2",100100,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,AXSM
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,19802,581905,SH,DFND,"1,2",581905,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,BHVN
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,34030,1000000,SH,DFND,"1,2",1000000,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,Call,BHVN
CHEMOCENTRYX INC,COM,16383L106,14359,357379,SH,DFND,"1,2",357379,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,CCXI
CONSTELLATION PHARMCETICLS I,COM,210373106,62153,1977502,SH,DFND,"1,2",1977502,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,CNST
CYTOKINETICS INC,COM NEW,23282W605,7830,664097,SH,DFND,"1,2",664097,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,CYTK
CYTOMX THERAPEUTICS INC,COM,23284F105,1072,139718,SH,DFND,"1,2",139718,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,CTMX
GW PHARMACEUTICALS PLC,ADS,36197T103,39407,450000,SH,DFND,"1,2",450000,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,GWPH
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,71473,2387606,SH,DFND,"1,2",2387606,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,IOVA
KURA ONCOLOGY INC,COM,50127T109,1788,179700,SH,DFND,"1,2",179700,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,KURA
LIQUIDIA TECHNOLOGIES INC,COM,53635D202,6019,1277955,SH,DFND,"1,2",1277955,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,LQDA
MENLO THERAPEUTICS INC,COM,586858102,4427,1652013,SH,DFND,"1,2",1652013,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,
MILLENDO THERAPEUTICS INC,COM,60040X103,9133,1729759,SH,DFND,"1,2",1729759,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,MLND
MOLECULAR TEMPLATES INC,COM,608550109,10964,825000,SH,DFND,"1,2",825000,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,MTEM
MOMENTA PHARMACEUTICALS INC,COM,60877T100,26640,979400,SH,DFND,"1,2",979400,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,
MYOKARDIA INC,COM,62857M105,17072,364163,SH,DFND,"1,2",364163,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,MYOK
MYOKARDIA INC,COM,62857M105,23440,500000,SH,DFND,"1,2",500000,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,Call,MYOK
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,459,40347,SH,DFND,"1,2",40347,0,0,0001281446,03-31-2020,13F-HR,false,GREAT POINT PARTNERS LLC,05-15-2020,,NLTX
