nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACTINIUM PHARMACEUTICALS,COM,00507W107,342,972285,SH,DFND,1,0,972285,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,ATNM
AIKIDO PHARMA INC,COM,008875106,281,342121,SH,DFND,1,0,342121,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
ALLENA PHARMACEUTICALS,COM,018119107,2420,1531446,SH,DFND,1,0,1531446,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,ALNA
ALTIMMUNE INC,COM,02155H900,202,189,SH,DFND,1,0,189,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
ALTIMMUNE INC,COM,02155H950,3062,2859,SH,DFND,1,0,2859,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
ARCADIA BIOSCIENCES INC,COM,039014204,224,59543,SH,DFND,1,0,59543,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
ASTRAZENECA PLC,ADR,046353108,1657,31320,SH,DFND,1,0,31320,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,AZN
ASTRAZENECA PLC,ADR,046353958,3570,675,SH,DFND,1,0,675,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
AURINIA PHARMACEUTICALS,COM,05156V102,406,25000,SH,DFND,1,0,25000,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,AUPH
AURINIA PHARMACEUTICALS,COM,05156V902,453,279,SH,DFND,1,0,279,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
AVEO PHARMACEUTICALS INC,COM,053588307,450,87319,SH,DFND,1,0,87319,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,AVEO
AVEO PHARMACEUTICALS INC,COM,053588907,2191,4255,SH,DFND,1,0,4255,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
AVEO PHARMACEUTICALS INC,COM,053588957,3763,7307,SH,DFND,1,0,7307,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
AVINGER INC,COM,053734604,676,2183464,SH,DFND,1,0,2183464,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
BAUDAX BIO INC,COM,07160F957,190,459,SH,DFND,1,0,459,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
BENITEC BIOPHARMA INC,COM,08205P100,94,11863,SH,DFND,1,0,11863,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
BIO PATH HLDGS INC,COM,09057N300,227,45000,SH,DFND,1,0,45000,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
BIOGEN INC,COM,09062X103,27799,103902,SH,DFND,1,0,103902,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,BIIB
BIOGEN INC,COM,09062X903,48266,1804,SH,DFND,1,0,1804,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
BIOGEN INC,COM,09062X953,68065,2544,SH,DFND,1,0,2544,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
BRAINSTORM CELL THERAPEUTICS,COM,10501E951,33173,9329,SH,DFND,1,0,9329,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
CATABASIS PHARMS,COM,14875P906,65,101,SH,DFND,1,0,101,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
CATABASIS PHARMS,COM,14875P956,306,476,SH,DFND,1,0,476,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
CELLDEX THERAPEUTICS INC,COM,15117B202,950,73094,SH,DFND,1,0,73094,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,CLDX
CELLDEX THERAPEUTICS INC,COM,15117B902,1017,782,SH,DFND,1,0,782,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
CEL-SCI CORP,COM,150837607,1319,88417,SH,DFND,1,0,88417,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,,
CEL-SCI CORP,COM,150837907,2923,1959,SH,DFND,1,0,1959,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
CEL-SCI CORP,COM,150837957,4601,3084,SH,DFND,1,0,3084,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Put,
CELSION CORP,COM,15117N903,243,653,SH,DFND,1,0,653,0,0001535610,06-30-2020,13F-HR,false,"SABBY MANAGEMENT, LLC",08-14-2020,Call,
