nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
AC IMMUNE SA,SHS,H00263105,76175,11318758,SH,DFND,1,0,11318758,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,ACIU
ANAPTYSBIO INC,COM,032724106,28917,1294401,SH,DFND,1,0,1294401,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,ANAB
ARCUS BIOSCIENCES INC,COM,03969F109,46579,1882722,SH,DFND,1,0,1882722,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,RCUS
ARGENX SE,SPONSORED ADR,04016X101,87840,390000,SH,DFND,1,0,390000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,ARGX
BIOLINERX LTD,SPONSORED ADS,09071M205,2884,1686375,SH,DFND,1,0,1686375,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,BLRX
BLACK DIAMOND THERAPEUTICS INC,COM,09203E105,15970,378788,SH,DFND,1,0,378788,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,BDTX
CALITHERA BIOSCIENCES INC,COM,13089P101,37439,7090638,SH,DFND,1,0,7090638,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CALA
CALLIDITAS THERAPEUTICS AB,SPONSORED ADS,13124Q106,17475,750000,SH,DFND,1,0,750000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CALT
CELLDEX THERAPEUTICS INC NEW,COM NEW,15117B202,35620,2740000,SH,DFND,1,0,2740000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CLDX
CIDARA THERAPEUTICS INC,COM,171757107,13613,3689203,SH,DFND,1,0,3689203,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CDTX
CONTRAFECT CORP,COM,212326300,10224,1600000,SH,DFND,1,0,1600000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CFRX
CORVUS PHARMACEUTICALS INC,COM,221015100,4739,1742112,SH,DFND,1,0,1742112,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CRVS
CTI BIOPHARMA CORP,COM,12648L601,8038,6929690,SH,DFND,1,0,6929690,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CTIC
CURIS INC,COM NEW,231269200,4417,3650000,SH,DFND,1,0,3650000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CRIS
CYTOMX THERAPEUTICS INC,COM,23284F105,25952,3115537,SH,DFND,1,0,3115537,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,CTMX
ERYTECH PHARMA,SPONSORED ADR,29604W108,5263,625000,SH,DFND,1,0,625000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,ERYP
ESSA PHARMA INC,COM NEW,29668H708,12306,1984889,SH,DFND,1,0,1984889,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,EPIX
EVELO BIOSCIENCES INC,COM,299734103,6370,1300000,SH,DFND,1,0,1300000,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,EVLO
EXELIXIS INC,COM,30161Q104,363,15300,SH,DFND,1,0,15300,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,EXEL
FIVE PRIME THERAPEUTICS INC,COM,33830X104,48727,7988053,SH,DFND,1,0,7988053,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,FPRX
FORTE BIOSCIENCES INC,COM,34962G109,14272,978857,SH,DFND,1,0,978857,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,FBRX
FORWARD PHARMA A/S,SPONSORD ADS NEW,34986J204,3968,647299,SH,DFND,1,0,647299,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,FWP
GALMED PHARMACEUTICALS LTD,SHS,M47238106,8603,1799694,SH,DFND,1,0,1799694,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,GLMD
GAMIDA CELL LTD,SHS,M47364100,9797,2143667,SH,DFND,1,0,2143667,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,GMDA
GENOCEA BIOSCIENCES INC,COM NEW,372427401,4642,2018398,SH,DFND,1,0,2018398,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,GNCA
GLYCOMIMETICS INC,COM,38000Q102,27238,7244262,SH,DFND,1,0,7244262,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,GLYC
IDEAYA BIOSCIENCES INC,COM,45166A102,45852,3226769,SH,DFND,1,0,3226769,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,IDYA
IMMUNOVANT INC,COM,45258J102,26504,1088479,SH,DFND,1,0,1088479,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,
INFINITY PHARMACEUTICALS INC,COM,45665G303,15764,17426968,SH,DFND,1,0,17426968,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,INFI
IONIS PHARMACEUTICALS INC,COM,462222100,83891,1422842,SH,DFND,1,0,1422842,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,IONS
KURA ONCOLOGY INC,COM,50127T109,45247,2775882,SH,DFND,1,0,2775882,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,KURA
MEI PHARMA INC,COM NEW,55279B202,17058,4130162,SH,DFND,1,0,4130162,0,0001056807,06-30-2020,13F-HR,false,BVF INC/IL,08-14-2020,MEIP
