nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBVIE INC,COM,00287Y109,1221,16030,SH,SOLE,16030,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ABBV
AC IMMUNE SA,SHS,H00263105,7316,1058697,SH,SOLE,1058697,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ACIU
ADMA BIOLOGICS INC,COM,000899104,3579,1242700,SH,SOLE,1242700,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ADMA
ALBIREO PHARMA INC,COM,01345P106,5409,330407,SH,SOLE,330407,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ALBO
ALDEYRA THERAPEUTICS INC,COM,01438T106,5027,2035340,SH,SOLE,2035340,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ALDX
ALEXION PHARMACEUTICALS INC,COM,015351109,12571,140000,SH,SOLE,140000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ALXN
AMN HEALTHCARE SVCS INC,COM,001744101,4825,83471,SH,SOLE,83471,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
ANAPTYSBIO INC,COM,032724106,1116,78976,SH,SOLE,78976,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ANAB
APOLLO ENDOSURGERY INC,COM,03767D108,648,337262,SH,SOLE,337262,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,APEN
ARENA PHARMACEUTICALS INC,COM NEW,040047607,17623,419602,SH,SOLE,419602,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ARNA
ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,3013,104737,SH,SOLE,104737,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ARWR
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,1935,22900,SH,SOLE,22900,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,BMRN
CATALYST BIOSCIENCES INC,COM NEW,14888D208,1673,382900,SH,SOLE,382900,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,CBIO
CENTENE CORP DEL,COM,15135B101,8455,142308,SH,SOLE,142308,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,CNC
CHANGE HEALTHCARE INC,COM,15912K100,5586,559125,SH,SOLE,559125,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
CHANGE HEALTHCARE INC,CALL,15912K900,999,100000,SH,SOLE,100000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,Call,
CIGNA CORP NEW,COM,125523100,6579,37129,SH,SOLE,37129,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,CI
CUE BIOPHARMA INC,COM,22978P106,7834,552060,SH,SOLE,552060,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,CUE
DIREXION SHS ETF TR,DAILY SM CP BEAR,25460E125,7425,125000,SH,SOLE,125000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
ENCOMPASS HEALTH CORP,COM,29261A100,3003,46900,SH,SOLE,46900,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,EHC
ENVISTA HOLDINGS CORPORATION,COM,29415F104,867,58000,SH,SOLE,58000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,NVST
ESTABLISHMENT LABS HLDGS INC,COM,G31249108,1830,126658,SH,SOLE,126658,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ESTA
EVOLUS INC,CALL,30052C907,306,73700,SH,SOLE,73700,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,Call,
EVOLUS INC,COM,30052C107,2134,514206,SH,SOLE,514206,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,EOLS
HCA HEALTHCARE INC,COM,40412C101,829,9223,SH,SOLE,9223,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,HCA
IMMUNOVANT INC,COM,45258J102,1890,121429,SH,SOLE,121429,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
INSPERITY INC,COM,45778Q107,481,12900,SH,SOLE,12900,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,16557,553100,SH,SOLE,553100,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,IOVA
KEZAR LIFE SCIENCES INC,COM,49372L100,421,96615,SH,SOLE,96615,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,KZR
KURA ONCOLOGY INC,COM,50127T109,14428,1450000,SH,SOLE,1450000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,KURA
LHC GROUP INC,COM,50187A107,4894,34909,SH,SOLE,34909,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,LHCG
LIGAND PHARMACEUTICALS INC,COM NEW,53220K504,836,11500,SH,SOLE,11500,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,LGND
MEIRAGTX HOLDINGS PLC,COM,G59665102,7639,568348,SH,SOLE,568348,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,MGTX
MILESTONE PHARMACEUTICALS IN,COM,59935V107,77,41592,SH,SOLE,41592,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,MIST
ORGANOGENESIS HLDGS INC,COM,68621F102,2171,672275,SH,SOLE,672275,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,
PERSONALIS INC,COM,71535D106,3347,414740,SH,SOLE,414740,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,PSNL
REATA PHARMACEUTICALS INC,CL A,75615P103,10826,75000,SH,SOLE,75000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,RETA
STEALTH BIOTHERAPEUTICS CORP,SPONSORED ADS,85789A105,417,336167,SH,SOLE,336167,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,MITO
TENET HEALTHCARE CORP,COM NEW,88033G407,301,20918,SH,SOLE,20918,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,THC
UNIQURE NV,SHS,N90064101,11652,245564,SH,SOLE,245564,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,QURE
UNITED THERAPEUTICS CORP DEL,COM,91307C102,8914,94000,SH,SOLE,94000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,UTHR
UROGEN PHARMA LTD,COM,M96088105,2608,146179,SH,SOLE,146179,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,URGN
ZIMMER BIOMET HOLDINGS INC,COM,98956P102,10613,105000,SH,SOLE,105000,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ZBH
ZOGENIX INC,COM NEW,98978L204,4048,163708,SH,SOLE,163708,0,0,0001617201,03-31-2020,13F-HR,false,"Prosight Management, LP",05-15-2020,,ZGNX
