nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
10X GENOMICS INC,CL A COM,88025U109,3923,43920,SH,SOLE,43920,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,TXG
ABBOTT LABS,COM,002824100,222,920,SH,SOLE,920,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,Put,ABT
ABIOMED INC,COM,003654100,236,150,SH,SOLE,150,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,Put,ABMD
ABM INDS INC,COM,000957100,4763,131200,SH,SOLE,131200,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,
ACCELERON PHARMA INC,COM,00434H108,1944,20400,SH,SOLE,20400,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,XLRN
ACHIEVE LIFE SCIENCE INC,COM NEW,004468203,529,1333333,SH,SOLE,1333333,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,ACHV
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,3227,66700,SH,SOLE,66700,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,
ADURO BIOTECH INC,COM,00739L101,533,230923,SH,SOLE,230923,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,
ALEXION PHARMACEUTICALS INC,COM,015351109,22975,204696,SH,SOLE,204696,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,ALXN
ALEXION PHARMACEUTICALS INC,COM,015351109,222,1020,SH,SOLE,1020,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,Call,ALXN
ALEXION PHARMACEUTICALS INC,COM,015351109,110,1020,SH,SOLE,1020,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,Call,ALXN
AMARIN CORP PLC,SPONS ADR NEW,023111206,1773,256248,SH,SOLE,256248,0,0,0001590144,06-30-2020,13F-HR,false,"PURA VIDA INVESTMENTS, LLC",08-14-2020,,AMRN
