nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,12755,1305500,SH,SOLE,1305500,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,ADVM
APPLIED GENETIC TECHNOL CORP,COM,03820J100,1223,372806,SH,SOLE,372806,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,AGTC
AMARIN CORP PLC,SPONS ADR NEW,023111206,662,165600,SH,SOLE,165600,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,Call,AMRN
ARVINAS INC,COM,04335A105,3224,80000,SH,SOLE,80000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,16892,150000,SH,SOLE,150000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,ASND
AURINIA PHARMACEUTICALS INC,COM,05156V102,5804,400000,SH,SOLE,400000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,AUPH
AVADEL PHARMACEUTICALS PLC,SPONSORED ADR,05337M104,2779,350000,SH,SOLE,350000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,AVDL
AXSOME THERAPEUTICS INC,COM,05464T104,12648,215000,SH,SOLE,215000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,AXSM
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,4000,2000000,SH,SOLE,2000000,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,BCRX
BIOGEN INC,COM,09062X103,1028,3250,SH,SOLE,3250,0,0,0001595851,03-31-2020,13F-HR,false,"Ghost Tree Capital, LLC",05-15-2020,,BIIB
