nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACADIA PHARMACEUTICALS INC,COM,004225108,15633,370000,SH,OTR,370000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,ACAD
AKERO THERAPEUTICS INC,COM,00973Y108,8830,416495,SH,OTR,416495,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,AKRO
AGENUS INC,COM NEW,00847G705,9800,4000000,SH,OTR,4000000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,AGEN
ALLAKOS INC,COM,01671P100,30031,675000,SH,OTR,675000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,ALLK
AMARIN CORP PLC,SPONS ADR NEW,023111206,9000,2250000,SH,OTR,2250000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,AMRN
AMICUS THERAPEUTICS INC,COM,03152W109,21483,2325000,SH,OTR,2325000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,FOLD
ANAPTYSBIO INC,COM,032724106,18369,1300000,SH,OTR,1300000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,ANAB
ARCUS BIOSCIENCES INC,COM,03969F109,42818,3084883,SH,OTR,3084883,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,RCUS
ARGENX SE,SPONSORED ADR,04016X101,26346,200000,SH,OTR,200000,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,ARGX
ARTARA THERAPEUTICS INC,COM,04300J107,4590,199567,SH,OTR,199567,0,0,0001465837,03-31-2020,13F-HR,false,"BOXER CAPITAL, LLC",05-15-2020,,
