nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACCELERON PHARMA INC,Common,00434H108,99081,1040000,SH,SOLE,1040000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,XLRN
ADAPTIMMUNE THERAPEUTICS PLC,Sponsored ADR,00653A107,100100,10000000,SH,SOLE,10000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ADAP
ADAPTIMMUNE THERAPEUTICS PLC,Sponsored ADR,00653A107,70,200000,SH,SOLE,200000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,Call,ADAP
ADVERUM BIOTECHNOLOGIES INC,Common,00773U108,158375,7585000,SH,SOLE,7585000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ADVM
ALIMERA SCIENCES INC,Common,016259202,2621,415999,SH,SOLE,415999,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,
ALLOGENE THERAPEUTICS INC,Common,019770106,48326,1128594,SH,SOLE,1128594,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ALLO
AMARIN CORP PLC,Sponsored ADR,023111206,13840,2000000,SH,SOLE,2000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,AMRN
AMICUS THERAPEUTICS INC,Common,03152W109,165880,11000000,SH,SOLE,11000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,FOLD
ARENA PHARMACEUTICALS INC,Common,040047607,59803,950000,SH,SOLE,950000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ARNA
ARGENX SE,Sponsored ADR,04016X101,218473,970000,SH,SOLE,970000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ARGX
ASCENDIS PHARMA,Sponsored ADR,04351P101,258825,1750000,SH,SOLE,1750000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ASND
ATHENEX INC,Common,04685N103,52976,3850000,SH,SOLE,3850000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ATNX
AURINIA PHARMACEUTICALS INC,Common,05156V102,27138,1670000,SH,SOLE,1670000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,AUPH
AVADEL PHARMACEUTICALS PLC,Sponsored ADR,05337M104,36890,4565655,SH,SOLE,4565655,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,AVDL
AVIDITY BIOSCIENCES INC,Common,05370A108,16532,585000,SH,SOLE,585000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,RNA
BIODELIVERY SCIENCES INTL,Common,09060J106,8872,2034900,SH,SOLE,2034900,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,BDSI
BIOMARIN PHARMACEUTICAL INC,Common,09061G101,228179,1850000,SH,SOLE,1850000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,BMRN
BLACK DIAMOND THERAPEUTICS INC,Common,09203E105,22134,525000,SH,SOLE,525000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,BDTX
CARDIFF ONCOLOGY INC,Common,14147L108,5010,1000000,SH,SOLE,1000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,CRDF
CONSTELLATION PHARMACEUTICALS INC,Common,210373106,120200,4000000,SH,SOLE,4000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,CNST
CUE BIOPHARMA INC,Common,22978P106,45834,1870000,SH,SOLE,1870000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,CUE
CYMABAY THERAPEUTICS INC,Common,23257D103,18323,5250000,SH,SOLE,5250000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,CBAY
DECIPHERA PHARMACEUTICALS INC,Common,24344T101,111079,1860000,SH,SOLE,1860000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,DCPH
FENNEC PHARMACEUTICALS INC,Common,31447P100,13945,1670000,SH,SOLE,1670000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,FENC
HORIZON THERAPEUTICS PLC,Common,G46188101,333480,6000000,SH,SOLE,6000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,HZNP
IMMUNOMEDICS INC,Common,452907108,930300,26250000,SH,SOLE,26250000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,IMMU
IOVANCE BIOTHERAPEUTICS INC,Common,462260100,284411,10361039,SH,SOLE,10361039,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,IOVA
IVERIC BIO INC,Common,46583P102,36210,7100000,SH,SOLE,7100000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,ISEE
KARYOPHARM THERAPEUTICS INC,Common,48576U106,132580,7000000,SH,SOLE,7000000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,KPTI
KURA ONCOLOGY INC,Common,50127T109,17115,1050000,SH,SOLE,1050000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,KURA
MADRIGAL PHARMACEUTICALS INC,Common,558868105,39638,350000,SH,SOLE,350000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,MDGL
MARINUS PHARMACEUTICALS INC,Common,56854Q101,30378,11960000,SH,SOLE,11960000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,MRNS
MERSANA THERAPEUTICS INC,Common,59045L106,152100,6500000,SH,SOLE,6500000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,MRSN
MIRATI THERAPEUTICS INC,Common,60468T105,489420,4286765,SH,SOLE,4286765,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,MRTX
MYOKARDIA INC,Common,62857M105,181646,1880000,SH,SOLE,1880000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,MYOK
PTC THERAPEUTICS INC,Common,69366J200,16478,324750,SH,SOLE,324750,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,PTCT
RELMADA THERAPEUTICS INC,Common,75955J402,63769,1425000,SH,SOLE,1425000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,RLMD
RETROPHIN INC,Common,761299106,21431,1050000,SH,SOLE,1050000,0,0,0001633313,06-30-2020,13F-HR,false,Avoro Capital Advisors LLC,08-14-2020,,RTRX
