nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABBVIE INC,COM,00287Y109,91428,1200000,SH,SOLE,1200000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,ABBV
ALEXION PHARMACEUTICALS INC,COM,015351109,148154,1650000,SH,SOLE,1650000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,ALXN
ALKERMES PLC,SHS,G01767105,87241,6050000,SH,SOLE,6050000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,ALKS
AMAG PHARMACEUTICALS INC,COM,00163U106,27130,4390000,SH,SOLE,4390000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,AMAG
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,60439,536710,SH,SOLE,536710,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,ASND
ATARA BIOTHERAPEUTICS INC,COM,046513107,12584,1478753,SH,SOLE,1478753,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,ATRA
AVROBIO INC,COM,05455M100,21006,1350000,SH,SOLE,1350000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,AVRO
BIOGEN INC,COM,09062X103,63276,200000,SH,SOLE,200000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,BIIB
BROOKDALE SR LIVING INC,COM,112463104,53040,17000000,SH,SOLE,17000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,BKD
CHANGE HEALTHCARE INC,COM,15912K100,129870,13000000,SH,SOLE,13000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,
COLLEGIUM PHARMACEUTICAL INC,COM,19459J104,32660,2000000,SH,SOLE,2000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,COLL
GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,113670,3000000,SH,SOLE,3000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,GSK
GLYCOMIMETICS INC,COM,38000Q102,7980,3500000,SH,SOLE,3500000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,GLYC
HCA HEALTHCARE INC,COM,40412C101,76373,850000,SH,SOLE,850000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,HCA
INCYTE CORP,COM,45337C102,26396,360457,SH,SOLE,360457,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,INCY
MOMENTA PHARMACEUTICALS INC,COM,60877T100,54400,2000000,SH,SOLE,2000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,
MYLAN N V,SHS EURO,N59465109,116223,7795000,SH,SOLE,7795000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,MYL
MYRIAD GENETICS INC,COM,62855J104,33629,2350000,SH,SOLE,2350000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,MYGN
NEKTAR THERAPEUTICS,COM,640268108,53550,3000000,SH,SOLE,3000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,NKTR
NUVASIVE INC,COM,670704105,1704,33630,SH,SOLE,33630,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,NUVA
PACIFIC BIOSCIENCES CALIF IN,COM,69404D108,7650,2500000,SH,SOLE,2500000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,PACB
PERRIGO CO PLC,SHS,G97822103,96180,2000000,SH,SOLE,2000000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,PRGO
PUMA BIOTECHNOLOGY INC,COM,74587V107,16458,1950000,SH,SOLE,1950000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,PBYI
SAREPTA THERAPEUTICS INC,COM,803607100,70920,725000,SH,SOLE,725000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,SRPT
SUTRO BIOPHARMA INC,COM,869367102,6120,600000,SH,SOLE,600000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,STRO
TENET HEALTHCARE CORP,COM NEW,88033G407,50400,3500000,SH,SOLE,3500000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,THC
TRANSLATE BIO INC,COM,89374L104,17597,1765000,SH,SOLE,1765000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,TBIO
UNIVERSAL HLTH SVCS INC,CL B,913903100,111465,1125000,SH,SOLE,1125000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,
VENTAS INC,COM,92276F100,87100,3250000,SH,SOLE,3250000,0,0,0001444043,03-31-2020,13F-HR,false,Camber Capital Management LP,05-15-2020,
