nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
"Aclaris Therapeutics, Inc.",Common,00461U105,1713,1647214,SH,SOLE,1647214,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ACRS
Aduro Biotech Inc,Common,00739L101,14025,5118560,SH,SOLE,5118560,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Akero Therapeutics Inc,Common,00973Y108,17135,808247,SH,SOLE,808247,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,AKRO
"Amyris, Inc",Common,03236M200,16620,6492247,SH,SOLE,6492247,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Arcutis Biotherapeutics Inc,Common,03969K108,50259,1686527,SH,SOLE,1686527,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ARQT
Arrowhead Pharmaceuticals Inc,Common,04280A100,22115,768674,SH,SOLE,768674,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ARWR
Ascendis Pharma A/S,ADR,04351P101,225574,2003147,SH,SOLE,2003147,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ASND
Atricure Inc,Common,04963C209,2169,64573,SH,SOLE,64573,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ATRC
Aurinia Pharmaceuticals Inc.,Common,05156V102,7266,500732,SH,SOLE,500732,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,AUPH
Avadel Pharmaceuticals PLC,ADR,05337M104,28389,3575424,SH,SOLE,3575424,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,AVDL
Avrobio Inc,Common,05455M100,11168,717753,SH,SOLE,717753,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,AVRO
Black Diamond Therapeutics Inc,Common,09203E105,6290,252119,SH,SOLE,252119,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,BDTX
Chiasma Inc,Common,16706W102,4643,1272156,SH,SOLE,1272156,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,CAIHF
"Codexis, Inc",Common,192005106,16672,1493903,SH,SOLE,1493903,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Collegium Pharmaceutical Inc,Common,19459J104,7302,447173,SH,SOLE,447173,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,COLL
Constellation Pharmaceutical,Common,210373106,4410,140298,SH,SOLE,140298,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,CNST
Crinetics Pharmaceuticals Inc,Common,22663K107,48816,3320801,SH,SOLE,3320801,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,CRNX
Cymabay Therapeutics Inc,Common,23257D103,1595,1077467,SH,SOLE,1077467,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,CBAY
DBV Technologies S.A.,ADR,23306J101,1058,269995,SH,SOLE,269995,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,DBVT
Eiger BioPharmaceuticals Inc,Common,28249U105,12181,1791257,SH,SOLE,1791257,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,EIGR
Forty Seven Inc,Common,34983P104,37757,395691,SH,SOLE,395691,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Galmed Pharmaceuticals Ltd,SHS,M47238106,2976,860103,SH,SOLE,860103,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,GLMD
"Homology Medicines, Inc.",Common,438083107,15673,1008562,SH,SOLE,1008562,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,FIXX
IGM Biosciences Inc,Common,449585108,11209,199626,SH,SOLE,199626,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,IGMS
Kadmon Holdings Inc,Common,48283N106,52541,12539515,SH,SOLE,12539515,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,KDMN
"Kala Pharmaceuticals, Inc.",Common,483119103,6917,786883,SH,SOLE,786883,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,KALA
KalVista Pharmaceuticals Inc.,Common,483497103,11297,1476796,SH,SOLE,1476796,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,KALV
Karuna Therapeutics Inc,Common,48576A100,16106,223692,SH,SOLE,223692,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,KRTX
Kiniksa Pharmaceuticals,Common,G5269C101,11750,759050,SH,SOLE,759050,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,KNSA
Matinas Biopharma Hldgs Inc,Common,576810105,6770,11279323,SH,SOLE,11279323,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,MTNB
MEI Pharma Inc,Common,55279B202,15753,9784422,SH,SOLE,9784422,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,MEIP
Menlo Therapeutics Inc.,Common,586858102,10301,3843824,SH,SOLE,3843824,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Myokardia Inc,Common,62857M105,15640,333621,SH,SOLE,333621,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,MYOK
Nabriva Therapeutics AG,SHS,G63637105,980,1704130,SH,SOLE,1704130,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,NBRV
New Frontier Health Corp,Common,G6461G106,117975,14300000,SH,SOLE,14300000,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
Orchard Therapeutics plc,ADS,68570P101,12253,1627225,SH,SOLE,1627225,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,ORTX
Passage Bio Inc,Common,702712100,35116,2229587,SH,SOLE,2229587,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,PASG
Precision Biosciences Inc,Common,74019P108,846,140255,SH,SOLE,140255,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,DTIL
Revolution Medicines Inc,Common,76155X100,4371,199518,SH,SOLE,199518,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,RVMD
Rocket Pharmaceuticals Inc,Common,77313F106,12006,860648,SH,SOLE,860648,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,RCKT
Selecta Biosciences Inc,Common,816212104,18910,7846509,SH,SOLE,7846509,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,SELB
"Sierra Oncology, Inc",Common,82640U107,18826,1917074,SH,SOLE,1917074,0,0,0001674712,03-31-2020,13F-HR,false,"Vivo Capital, LLC",05-15-2020,
