nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACADIA PHARMACEUTICALS INC,COM,004225108,6563,135413,SH,SOLE,135413,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,ACAD
ACLARIS THERAPEUTICS INC,COM,00461U105,2481,1531312,SH,SOLE,1531312,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,ACRS
AKOUOS INC,COM,00973J101,44460,1975984,SH,SOLE,1975984,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,AKUS
ANAPTYSBIO INC,COM,032724106,68696,3075014,SH,SOLE,3075014,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,ANAB
APPLIED MOLECULAR TRANS INC,COM,03824M109,28911,1150000,SH,SOLE,1150000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,AMTI
ARCUS BIOSCIENCES INC,COM,03969F109,44779,1810000,SH,SOLE,1810000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,RCUS
ASSEMBLY BIOSCIENCES INC,COM,045396108,73547,3153797,SH,SOLE,3153797,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,ASMB
ATRECA INC,CL A COM,04965G109,31690,1489185,SH,SOLE,1489185,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,BCEL
AVIDITY BIOSCIENCES INC,COM,05370A108,59458,2103950,SH,SOLE,2103950,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,RNA
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,16999,4748300,SH,SOLE,4748300,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,
CONSTELLATION PHARMCETICLS I,COM,210373106,12020,400000,SH,SOLE,400000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,Call,CNST
CONSTELLATION PHARMCETICLS I,COM,210373106,25178,837885,SH,SOLE,837885,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,CNST
CORVUS PHARMACEUTICALS INC,COM,221015100,2006,737612,SH,SOLE,737612,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,CRVS
CRINETICS PHARMACEUTICALS IN,COM,22663K107,15064,859802,SH,SOLE,859802,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,CRNX
CYCLERION THERAPEUTICS INC,COM,23255M105,16207,2742276,SH,SOLE,2742276,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,CYCN
DENALI THERAPEUTICS INC,COM,24823R105,17738,733561,SH,SOLE,733561,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,DNLI
DICERNA PHARMACEUTICALS INC,COM,253031108,69139,2721993,SH,SOLE,2721993,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,DRNA
EQUILLIUM INC,COM,29446K106,174,59014,SH,SOLE,59014,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,EQ
EVELO BIOSCIENCES INC,COM,299734103,6125,1250000,SH,SOLE,1250000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,EVLO
EXICURE INC,COM,30205M101,4083,1673301,SH,SOLE,1673301,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,
FATE THERAPEUTICS INC,COM,31189P102,21267,619855,SH,SOLE,619855,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,FATE
FIVE PRIME THERAPEUTICS INC,COM,33830X104,2318,379945,SH,SOLE,379945,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,FPRX
FULCRUM THERAPEUTICS INC,COM,359616109,16138,882353,SH,SOLE,882353,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,FULC
GERON CORP,COM,374163103,41923,19230769,SH,SOLE,19230769,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,GERN
GLYCOMIMETICS INC,COM,38000Q102,7103,1889000,SH,SOLE,1889000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,GLYC
INTERCEPT PHARMACEUTICALS IN,COM,45845P108,1212,25300,SH,SOLE,25300,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,Call,ICPT
IRONWOOD PHARMACEUTICALS INC,COM CL A,46333X108,5160,500000,SH,SOLE,500000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,Call,IRWD
KALEIDO BIOSCIENCES INC,COM,483347100,233,31374,SH,SOLE,31374,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,KLDO
KEROS THERAPEUTICS INC,COM,492327101,8260,220216,SH,SOLE,220216,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,KROS
KURA ONCOLOGY INC,COM,50127T109,75119,4608529,SH,SOLE,4608529,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,KURA
LIFESCI ACQUISITION CORP,UNIT 03/31/2025,53228P208,3300,300000,SH,SOLE,300000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,
MAGENTA THERAPEUTICS INC,COM,55910K108,3380,450000,SH,SOLE,450000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,MGTA
MEIRAGTX HLDGS PLC,COM,G59665102,1187,94819,SH,SOLE,94819,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,MGTX
MIRATI THERAPEUTICS INC,COM,60468T105,40856,357849,SH,SOLE,357849,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,MRTX
MORPHIC HLDG INC,COM,61775R105,76767,2837973,SH,SOLE,2837973,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,MORF
NEOLEUKIN THERAPEUTICS INC,COM,64049K104,58709,3536684,SH,SOLE,3536684,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,NLTX
ORIC PHARMACEUTICALS INC,COM,68622P109,89122,2642218,SH,SOLE,2642218,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,ORIC
PLIANT THERAPEUTICS INC,COM,729139105,42,1300,SH,SOLE,1300,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,PLRX
PREVAIL THERAPEUTICS INC,COM,74140Y101,5472,367218,SH,SOLE,367218,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,PRVL
PROTHENA CORP PLC,SHS,G72800108,98603,9426640,SH,SOLE,9426640,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,PRTA
RELMADA THERAPEUTICS INC,COM,75955J402,8950,200000,SH,SOLE,200000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,RLMD
REPARE THERAPEUTICS INC,COM,760273102,1551,50000,SH,SOLE,50000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,RPTX
ROYALTY PHARMA PLC,SHS CL A,G7709Q104,2428,50000,SH,SOLE,50000,0,0,0001587114,06-30-2020,13F-HR,false,"EcoR1 Capital, LLC",08-13-2020,,RPRX
