nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACADIA PHARMACEUTICALS INC,Common,004225108,6126,145000,SH,SOLE,145000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ACAD
ACCELERON PHARMA INC,Common,00434H108,77288,860000,SH,SOLE,860000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,XLRN
ADVERUM BIOTECHNOLOGIES INC,Common,00773U108,69856,7150000,SH,SOLE,7150000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ADVM
AGENUS INC,Common,00847G705,6738,2750000,SH,SOLE,2750000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,AGEN
ALIMERA SCIENCES INC,Common,016259202,1597,415999,SH,SOLE,415999,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,
ALLOGENE THERAPEUTICS INC,Common,019770106,21940,1128594,SH,SOLE,1128594,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ALLO
AMARIN CORP PLC,Sponsored ADR,023111206,8000,2000000,SH,SOLE,2000000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,AMRN
AMARIN CORP PLC,Sponsored ADR,023111206,10,1000000,SH,SOLE,1000000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,Call,AMRN
AMICUS THERAPEUTICS INC,Common,03152W109,101178,10950000,SH,SOLE,10950000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,FOLD
ARGENX SE,Sponsored ADR,04016X101,123365,936500,SH,SOLE,936500,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ARGX
ASCENDIS PHARMA,Sponsored ADR,04351P101,201234,1787000,SH,SOLE,1787000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ASND
ATHENEX INC,Common,04685N103,37733,4875000,SH,SOLE,4875000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,ATNX
AURINIA PHARMACEUTICALS INC,Common,05156V102,25030,1725000,SH,SOLE,1725000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,AUPH
AVADEL PHARMACEUTICALS PLC,Sponsored ADR,05337M104,34663,4365655,SH,SOLE,4365655,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,AVDL
BIODELIVERY SCIENCES INTL,Common,09060J106,11370,3000000,SH,SOLE,3000000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,BDSI
BIOMARIN PHARMACEUTICAL INC,Common,09061G101,163085,1930000,SH,SOLE,1930000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,BMRN
BLACK DIAMOND THERAPEUTICS INC,Common,09203E105,13018,521750,SH,SOLE,521750,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,BDTX
CONSTELLATION PHARMACEUTICALS INC,Common,210373106,114720,3650000,SH,SOLE,3650000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,CNST
CUE BIOPHARMA INC,Common,22978P106,26535,1870000,SH,SOLE,1870000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,CUE
CYMABAY THERAPEUTICS INC,Common,23257D103,8140,5500000,SH,SOLE,5500000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,CBAY
DECIPHERA PHARMACEUTICALS INC,Common,24344T101,82340,2000000,SH,SOLE,2000000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,DCPH
FENNEC PHARMACEUTICALS INC,Common,31447P100,6570,1105999,SH,SOLE,1105999,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,FENC
HORIZON THERAPEUTICS PLC,Common,G46188101,135512,4575000,SH,SOLE,4575000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,HZNP
IMMUNOGEN INC,Common,45253H101,6479,1900000,SH,SOLE,1900000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,IMGN
IMMUNOMEDICS INC,Common,452907108,330260,24500000,SH,SOLE,24500000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,IMMU
IOVANCE BIOTHERAPEUTICS INC,Common,462260100,269727,9010413,SH,SOLE,9010413,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,IOVA
IOVANCE BIOTHERAPEUTICS INC,Common,462260100,3125,1250000,SH,SOLE,1250000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,Call,IOVA
KARYOPHARM THERAPEUTICS INC,Common,48576U106,134470,7000000,SH,SOLE,7000000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,KPTI
MADRIGAL PHARMACEUTICALS INC,Common,558868105,23299,349000,SH,SOLE,349000,0,0,0001633313,03-31-2020,13F-HR,false,Avoro Capital Advisors LLC,05-15-2020,,MDGL
