nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ANAPTYSBIO INC,COM,032724106,56491,2528678,SH,OTR,1,0,2528678,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,ANAB
AVROBIO INC,COM,05455M100,13960,800000,SH,OTR,1,0,800000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,AVRO
BIOHAVEN PHARMACEUTICAL HOLDING CO LTD,COM,G11196105,71682,980461,SH,OTR,1,0,980461,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,BHVN
BIO RAD LABS INC,CL A,090572207,36119,80000,SH,OTR,1,0,80000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,
COHERUS BIOSCIENCES INC,COM,19249H103,9823,550000,SH,OTR,1,0,550000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,CHRS
CYTOMX THERAPEUTICS INC,COM,23284F105,2499,300000,SH,OTR,1,0,300000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,CTMX
EAGLE PHARMACEUTICALS INC,COM,269796108,12264,255616,SH,OTR,1,0,255616,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,EGRX
HERON THERAPEUTICS INC,COM,427746102,42613,2896904,SH,OTR,1,0,2896904,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,HRTX
LA JOLLA PHARMACEUTICAL CO,COM,503459604,37043,8695474,SH,OTR,1,0,8695474,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,LJPC
LIFESCI ACQUISITION CORP,UNIT 03/31/2025,53228P208,5500,500000,SH,OTR,1,0,500000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,
NUCANA PLC,SPONSORED ADR,67022C106,541,100000,SH,OTR,1,0,100000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,NCNA
ODONATE THERAPEUTICS INC,COM,676079106,595947,14075269,SH,OTR,1,0,14075269,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,ODT
PROTHENA CORP PLC,SHS,G72800108,2864,273823,SH,OTR,1,0,273823,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,PRTA
PUMA BIOTECHNOLOGY INC,COM,74587V107,14241,1365376,SH,OTR,1,0,1365376,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,PBYI
RADIUS HEALTH INC,COM NEW,750469207,1622,119005,SH,OTR,1,0,119005,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,RDUS
RELMADA THERAPEUTICS INC,COM,75955J402,22375,500000,SH,OTR,1,0,500000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,RLMD
ROCKET PHARMACEUTICALS INC,COM,77313F106,62068,2965485,SH,OTR,1,0,2965485,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,RCKT
SANGAMO THERAPEUTICS INC,COM,800677106,14146,1578795,SH,OTR,1,0,1578795,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,SGMO
TENAX THERAPEUTICS INC,COM NEW,88032L209,416,460000,SH,OTR,1,0,460000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,
UNITED THERAPEUTICS CORP DEL,COM,91307C102,24200,200000,SH,OTR,1,0,200000,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,UTHR
VANDA PHARMACEUTICALS INC,COM,921659108,2190,191426,SH,OTR,1,0,191426,0,0001232621,06-30-2020,13F-HR,false,TANG CAPITAL MANAGEMENT LLC,08-14-2020,VNDA
