nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABBOTT LABS,COM,002824100,16915,185000,SH,SOLE,0,0,185000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ABT
ABBVIE INC,COM,00287Y109,29454,300000,SH,SOLE,0,0,300000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ABBV
ABEONA THERAPEUTICS INC,COM,00289Y107,2696,925000,SH,SOLE,0,0,925000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ABEO
ABIOMED INC,COM,003654100,16426,68000,SH,SOLE,0,0,68000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ABMD
ACCELERON PHARMA INC,COM,00434H108,14767,155000,SH,SOLE,0,0,155000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,XLRN
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,10440,500000,SH,SOLE,0,0,500000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ADVM
AERIE PHARMACEUTICALS INC,COM,00771V108,8708,590000,SH,SOLE,0,0,590000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,AERI
AGIOS PHARMACEUTICALS INC,COM,00847X104,4813,90000,SH,SOLE,0,0,90000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,AGIO
AIMMUNE THERAPEUTICS INC,COM,00900T107,4762,285000,SH,SOLE,0,0,285000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
ALEXION PHARMACEUTICALS INC,COM,015351109,21326,190000,SH,SOLE,0,0,190000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ALXN
ALKERMES PLC,SHS,G01767105,6016,310000,SH,SOLE,0,0,310000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ALKS
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,9197,62095,SH,SOLE,0,0,62095,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ALNY
AMARIN CORP PLC,SPONS ADR NEW,023111206,3633,525000,SH,SOLE,0,0,525000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,AMRN
ANHEUSER BUSCH INBEV SA/NV,SPONSORED ADR,03524A108,138,2806,SH,SOLE,0,0,2806,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
ANTHEM INC,COM,036752103,17094,65000,SH,SOLE,0,0,65000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ANTM
APELLIS PHARMACEUTICALS INC,COM,03753U106,5389,165000,SH,SOLE,0,0,165000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,APLS
ARENA PHARMACEUTICALS INC,COM NEW,040047607,13268,210778,SH,SOLE,0,0,210778,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ARNA
AXONICS MODULATION TECH INC,COM,05465P101,16502,470000,SH,SOLE,0,0,470000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,AXNX
BAXTER INTL INC,COM,071813109,8180,95000,SH,SOLE,0,0,95000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BAX
BECTON DICKINSON  CO,COM,075887109,5025,21000,SH,SOLE,0,0,21000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BDX
BIOGEN INC,COM,09062X103,4548,17000,SH,SOLE,0,0,17000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BIIB
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,15353,210000,SH,SOLE,0,0,210000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BHVN
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,23435,190000,SH,SOLE,0,0,190000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BMRN
BLUEBIRD BIO INC,COM,09609G100,6580,107797,SH,SOLE,0,0,107797,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BLUE
BOSTON SCIENTIFIC CORP,COM,101137107,14395,410000,SH,SOLE,0,0,410000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BSX
BRISTOL MYERS SQUIBB CO,COM,110122108,22344,380000,SH,SOLE,0,0,380000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,BMY
CELLECTIS S A,SPONS ADS,15117K103,2574,144604,SH,SOLE,0,0,144604,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,CMVLF
CENTENE CORP DEL,COM,15135B101,14895,234378,SH,SOLE,0,0,234378,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,CNC
CHEVRON CORP,COM,166764100,265,2974,SH,SOLE,0,0,2974,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
CIGNA CORP NEW,COM,125523100,20642,110000,SH,SOLE,0,0,110000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,CI
COOPER COS INC,COM NEW,216648402,11346,40000,SH,SOLE,0,0,40000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
CVS HEALTH CORP,COM,126650100,14748,227000,SH,SOLE,0,0,227000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
DISNEY WALT CO,COM DISNEY,254687106,149,1338,SH,SOLE,0,0,1338,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
DYNAVAX TECHNOLOGIES CORP,COM NEW,268158201,8209,925534,SH,SOLE,0,0,925534,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,DVAX
EDWARDS LIFESCIENCES CORP,COM,28176E108,8293,120000,SH,SOLE,0,0,120000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,EW
EPIZYME INC,COM,29428V104,4256,265000,SH,SOLE,0,0,265000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,EPZM
ESPERION THERAPEUTICS INC NE,COM,29664W105,21807,425000,SH,SOLE,0,0,425000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ESPR
EXACT SCIENCES CORP,COM,30063P105,6955,80000,SH,SOLE,0,0,80000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,EXAS
EXXON MOBIL CORP,COM,30231G102,241,5388,SH,SOLE,0,0,5388,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
FIBROGEN INC,COM,31572Q808,5877,145000,SH,SOLE,0,0,145000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,FGEN
FORD MTR CO DEL,COM,345370860,177,29164,SH,SOLE,0,0,29164,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
G1 THERAPEUTICS INC,COM,3621LQ109,4609,190000,SH,SOLE,0,0,190000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,GTHX
GILEAD SCIENCES INC,COM,375558103,17696,230000,SH,SOLE,0,0,230000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,GILD
GLAUKOS CORP,COM,377322102,5379,140000,SH,SOLE,0,0,140000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,GKOS
GUARDANT HEALTH INC,COM,40131M109,15009,185000,SH,SOLE,0,0,185000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,GH
HALLIBURTON CO,COM,406216101,108,8299,SH,SOLE,0,0,8299,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
HCA HEALTHCARE INC,COM,40412C101,7280,75000,SH,SOLE,0,0,75000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,HCA
HORIZON THERAPEUTICS PUB LTD,SHS,G46188101,41685,750000,SH,SOLE,0,0,750000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,HZNP
HUMANA INC,COM,444859102,21326,55000,SH,SOLE,0,0,55000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,HUM
INTERNATIONAL BUSINESS MACHS,COM,459200101,192,1587,SH,SOLE,0,0,1587,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
IMMUNOMEDICS INC,COM,452907108,16302,460000,SH,SOLE,0,0,460000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,IMMU
INCYTE CORP,COM,45337C102,4159,40000,SH,SOLE,0,0,40000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,INCY
INTRA CELLULAR THERAPIES INC,COM,46116X101,12193,475000,SH,SOLE,0,0,475000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
INTUITIVE SURGICAL INC,COM NEW,46120E602,9687,17000,SH,SOLE,0,0,17000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,ISRG
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,9333,340000,SH,SOLE,0,0,340000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,IOVA
JANUS HENDERSON GROUP PLC,ORD SHS,G4474Y214,183,8645,SH,SOLE,0,0,8645,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,15120,137032,SH,SOLE,0,0,137032,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,JAZZ
JPMORGAN CHASE  CO,COM,46625H100,162,1723,SH,SOLE,0,0,1723,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
LILLY ELI  CO,COM,532457108,17239,105000,SH,SOLE,0,0,105000,0001599882,06-30-2020,13F-HR,false,Rhenman  Partners Asset Management AB,07-14-2020,
