nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,22033,793125,SH,SOLE,793125,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,10991,1125000,SH,SOLE,1125000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ADVM
AGIOS PHARMACEUTICALS INC,COM,00847X104,37964,1070000,SH,SOLE,1070000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,AGIO
ALECTOR INC,COM,014442107,25965,1076039,SH,SOLE,1076039,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ALEC
ALLOGENE THERAPEUTICS INC,COM,019770106,9720,500000,SH,SOLE,500000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ALLO
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,63677,585000,SH,SOLE,585000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ALNY
BLACK DIAMOND THERAPEUTICS I,COM,09203E105,7220,289395,SH,SOLE,289395,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,BDTX
BIOLIFE SOLUTIONS INC,COM NEW,09062W204,23451,2468571,SH,SOLE,2468571,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,BLFS
BLUEBIRD BIO INC,COM,09609G100,50786,1105000,SH,SOLE,1105000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,BLUE
BRISTOL-MYERS SQUIBB CO,RIGHT,110122157,9500,2500000,SH,SOLE,2500000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,
BLUEPRINT MEDICINES CORP,COM,09627Y109,90644,1550000,SH,SOLE,1550000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,BPMC
CAREDX INC,COM,14167L103,28255,1294335,SH,SOLE,1294335,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,CDNA
CODEXIS INC,COM,192005106,56623,5073780,SH,SOLE,5073780,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,
CONSTELLATION PHARMCETICLS I,COM,210373106,30801,980000,SH,SOLE,980000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,CNST
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,11299,266430,SH,SOLE,266430,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,CRSP
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,5764,140000,SH,SOLE,140000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,DCPH
DERMTECH INC,COM,24984K105,5642,571713,SH,SOLE,571713,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,
DENALI THERAPEUTICS INC,COM,24823R105,25477,1455000,SH,SOLE,1455000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,DNLI
FATE THERAPEUTICS INC,COM,31189P102,56636,2550000,SH,SOLE,2550000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,FATE
FULCRUM THERAPEUTICS INC,COM,359616109,14439,1209285,SH,SOLE,1209285,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,FULC
GLOBAL BLOOD THERAPEUTICS IN,COM,37890U108,15327,300000,SH,SOLE,300000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,GBT
GILEAD SCIENCES INC,COM,375558103,13083,175000,SH,SOLE,175000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,GILD
GENMARK DIAGNOSTICS INC,COM,372309104,13864,3365000,SH,SOLE,3365000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,GNMK
GRITSTONE ONCOLOGY INC,COM,39868T105,13211,2270000,SH,SOLE,2270000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,GRTS
ILLUMINA INC,COM,452327109,8194,30000,SH,SOLE,30000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ILMN
MAGENTA THERAPEUTICS INC,COM,55910K108,18658,2971034,SH,SOLE,2971034,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,MGTA
MYOKARDIA INC,COM,62857M105,46646,995000,SH,SOLE,995000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,MYOK
INVITAE CORP,COM,46185L103,47550,3478388,SH,SOLE,3478388,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,NVTA
ORCHARD THERAPEUTICS PLC,ADS,68570P101,7342,975000,SH,SOLE,975000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ORTX
REVOLUTION MEDICINES INC,COM,76155X100,28911,1319536,SH,SOLE,1319536,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,RVMD
SAGE THERAPEUTICS INC,COM,78667J108,11057,385000,SH,SOLE,385000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,SAGE
SANGAMO THERAPEUTICS INC,COM,800677106,9268,1455000,SH,SOLE,1455000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,SGMO
SAREPTA THERAPEUTICS INC,COM,803607100,65539,670000,SH,SOLE,670000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,SRPT
STOKE THERAPEUTICS INC,COM,86150R107,2748,120000,SH,SOLE,120000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,STOK
TURNING POINT THERAPEUTICS I,COM,90041T108,3350,75000,SH,SOLE,75000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,TPTX
TWIST BIOSCIENCE CORP,COM,90184D100,30580,1000000,SH,SOLE,1000000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,TWST
VOYAGER THERAPEUTICS INC,COM,92915B106,10020,1095075,SH,SOLE,1095075,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,VYGR
ZAI LAB LTD,ADR,98887Q104,9781,190000,SH,SOLE,190000,0,0,0001534261,03-31-2020,13F-HR,false,"Casdin Capital, LLC",05-15-2020,ZLAB
