nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABIOMED INC,COM,003654100,118928,492333,SH,SOLE,0,492333,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ABMD
ACADIA PHARMACEUTICALS INC,COM,004225108,75851,1564900,SH,SOLE,0,1564900,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ACAD
AIMMUNE THERAPEUTICS INC,COM,00900T107,55447,3318212,SH,SOLE,0,3318212,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,
ALDEYRA THERAPEUTICS INC,COM,01438T106,306,73500,SH,SOLE,0,73500,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ALDX
ALEXION PHARMACEUTICALS INC,COM,015351109,49905,444629,SH,SOLE,0,444629,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,18526,67505,SH,SOLE,0,67505,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ALGN
ALIMERA SCIENCES INC,COM,016259202,1266,200919,SH,SOLE,0,200919,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,
AMAG PHARMACEUTICALS INC,COM,00163U106,22641,2959587,SH,SOLE,0,2959587,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,AMAG
AMICUS THERAPEUTICS INC,COM,03152W109,110607,7334714,SH,SOLE,0,7334714,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,FOLD
APREA THERAPEUTICS INC,COM,03836J102,1832,47234,SH,SOLE,0,47234,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,APRE
ATHENEX INC,COM,04685N103,2548,185200,SH,SOLE,0,185200,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,ATNX
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,173410,1405950,SH,SOLE,0,1405950,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,BMRN
CLOVIS ONCOLOGY INC,COM,189464100,29440,4361411,SH,SOLE,0,4361411,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,CLVS
CYTOKINETICS INC,COM,23282W605,2915,123686,SH,SOLE,0,123686,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,CYTK
DICERNA PHARMACEUTICALS INC,COM,253031108,8428,331813,SH,SOLE,0,331813,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,DRNA
EPIZYME INC,COM,29428V104,88550,5513676,SH,SOLE,0,5513676,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,EPZM
GOSSAMER BIO INC,COM,38341P102,2655,204214,SH,SOLE,0,204214,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,GOSS
IDERA PHARMACEUTICALS INC,COM,45168K405,138,77044,SH,SOLE,0,77044,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,IDRA
IMMUNOMEDICS INC,COM,452907108,183685,5182983,SH,SOLE,0,5182983,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,IMMU
INSMED INC,COM,457669307,165303,6002289,SH,SOLE,0,6002289,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,INSM
INTRA-CELLULAR THERAPIES INC,COM,46116X101,960,37400,SH,SOLE,0,37400,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,
KALEIDO BIOSCIENCES INC,COM,483347100,5843,786400,SH,SOLE,0,786400,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,KLDO
KARYOPHARM THERAPEUTICS INC,COM,48576U106,79916,4219452,SH,SOLE,0,4219452,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,KPTI
KEZAR LIFE SCIENCES INC,COM,49372L100,1062,205086,SH,SOLE,0,205086,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,KZR
MAGENTA THERAPEUTICS INC,COM,55910K108,1461,194600,SH,SOLE,0,194600,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,MGTA
MARINUS PHARMACEUTICALS INC,COM,56854Q101,318,125321,SH,SOLE,0,125321,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,MRNS
MINERVA NEUROSCIENCES INC,COM,603380106,131,36319,SH,SOLE,0,36319,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,NERV
MOMENTA PHARMACEUTICALS INC,COM,60877T100,49224,1479524,SH,SOLE,0,1479524,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,
PROTHENA CORP PLC,COM,G72800108,8065,771065,SH,SOLE,0,771065,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,PRTA
PUMA BIOTECHNOLOGY INC,COM,74587V107,14017,1343897,SH,SOLE,0,1343897,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,PBYI
RETROPHIN INC,COM,761299106,959,47000,SH,SOLE,0,47000,0,0,0001306923,06-30-2020,13F-HR,false,Palo Alto Investors LP,08-14-2020,RTRX
