nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,othermanager,ticker
Aclaris Therapeutics,COMM,00461U105,3097,1911573,SH,SOLE,1911573,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ACRS
"Akouos, Inc",ADR,00973J101,34089,1515073,SH,SOLE,1515073,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,AKUS
Amarin,ADR,023111206,36041,5208305,SH,SOLE,5208305,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,AMRN
"Apellis Pharmaceuticals, Inc",COMM,03753U106,1619,49580,SH,SOLE,49580,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,APLS
Ascendis Pharma A/S,ADR,04351P101,164150,1109874,SH,SOLE,1109874,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ASND
Chiasma,COMM,16706W102,8771,1630221,SH,SOLE,1630221,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CAIHF
Coherus BioSciences,COMM,19249H103,34527,1933221,SH,SOLE,1933221,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CHRS
Entasis Therapeutics Holdings Inc.,COMM,293614103,3493,1180178,SH,SOLE,1180178,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ETTX
"Galera Therapeutics, Inc",COMM,36338D108,22018,3083712,SH,SOLE,3083712,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,GRTX
"Karuna Therapeutics, Inc.",COMM,48576A100,210169,1885602,SH,SOLE,1885602,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,KRTX
"Kiniksa Pharmaceuticals, Ltd",COMM CL A,G5269C101,20634,809803,SH,SOLE,809803,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,KNSA
Merus N.V.,COMM,N5749R100,21095,1311039,SH,SOLE,1311039,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,MRUS
Natera,COMM,632307104,154594,3100560,SH,SOLE,3100560,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,NTRA
"Nextcure, Inc",COMM,65343E108,57285,2671856,SH,SOLE,2671856,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,NXTC
Nucana Biomed Ltd,ADR,67022C106,12263,2266666,SH,SOLE,2266666,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,NCNA
Nucana Biomed Ltd,Ordinary Shares,GBOOBYWYV,12984,2400000,SH,SOLE,2400000,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
ObsEva SA,COMM,H5861P103,27975,4749623,SH,SOLE,4749623,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,OBSV
PDS Biotechnology Corporation,COMM,70465T107,287,142635,SH,SOLE,142635,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,PDSB
Principia Biopharma,COMM,74257L108,84738,1417258,SH,SOLE,1417258,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
Synlogic Inc.,COMM,87166L100,1167,574972,SH,SOLE,574972,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,SYBX
"Y-mAbs Therapeutics, Inc",COMM,984241109,94793,2194278,SH,SOLE,2194278,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,YMAB
Abbvie Inc,COMM,00287Y109,10772,109717,SH,SOLE,109717,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ABBV
Acceleron Pharma Inc,COMM,00434H108,9016,94641,SH,SOLE,94641,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,XLRN
Akebia Therapeutics Inc,COMM,00972D105,4032,296912,SH,SOLE,296912,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,AKBA
Alnylam Pharmaceuticals Inc,COMM,02043Q907,9672,65300,SH,SOLE,65300,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Call,,
Amgen Inc,COMM,031162950,17336,73500,SH,SOLE,73500,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Applied Genetic Technologies Corp,COMM,03820J100,2582,466103,SH,SOLE,466103,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,AGTC
Arena Pharmaceuticals Inc,COMM,040047607,382,6065,SH,SOLE,6065,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,ARNA
Axsome Therapeutics Inc,COMM,05464T104,3116,37871,SH,SOLE,37871,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,AXSM
BioCryst Pharmaceuticals Inc,COMM,09058V103,2821,592106,SH,SOLE,592106,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,BCRX
Biomarin Pharmaceutical Inc,COMM,09061G101,3378,27390,SH,SOLE,27390,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,BMRN
Blueprint Medicines Corp,COMM,09627Y109,3231,41427,SH,SOLE,41427,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,BPMC
Calithera Biosciences Inc,COMM,13089P101,2092,396177,SH,SOLE,396177,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CALA
ChemoCentryx Inc,COMM,16383L106,2428,42192,SH,SOLE,42192,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CCXI
Compugen Ltd,COMM,M25722105,678,45107,SH,SOLE,45107,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CGEN
Constellation Pharmaceuticals Inc,COMM,210373106,2709,90144,SH,SOLE,90144,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CNST
Cytokinetics Inc,COMM,23282W605,1644,69767,SH,SOLE,69767,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,CYTK
Eli Lilly  Co,COMM,532457108,10644,64834,SH,SOLE,64834,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
Gilead Sciences Inc,COMM,375558103,13519,175706,SH,SOLE,175706,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,GILD
SPDR Ser Tr,SP Biotech,81369Y959,6535,65300,SH,SOLE,65300,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Homology Medicines Inc,COMM,438083107,2185,143831,SH,SOLE,143831,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,FIXX
Horizon Therapeutics PLC,COMM,G46188101,6120,110120,SH,SOLE,110120,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,HZNP
Immunovant Inc,COMM,45258J102,447,18338,SH,SOLE,18338,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
Insmed Inc,COMM,457669307,5801,210646,SH,SOLE,210646,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,INSM
Intellia Therapeutics Inc,COMM,45826J105,527,25050,SH,SOLE,25050,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,NTLA
Intra-Cellular Therapies Inc,COMM,46116X101,2704,105346,SH,SOLE,105346,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,
Intra-Cellular Therapies Inc,COMM,46116X951,2462,95900,SH,SOLE,95900,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Invesco QQQ Trust,UNIT SER 1,46090E953,3244,13100,SH,SOLE,13100,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,Put,,
Jazz Pharmaceuticals PLC,COMM,G50871105,11693,105975,SH,SOLE,105975,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,JAZZ
Kadmon Holdings Inc,COMM,48283N106,3412,666381,SH,SOLE,666381,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,KDMN
Kala Pharmaceuticals Inc,COMM,483119103,2319,220610,SH,SOLE,220610,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,KALA
Kura Oncology Inc,COMM,50127T109,4337,266058,SH,SOLE,266058,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,KURA
Liquidia Technologies Inc,COMM,53635D202,2933,348305,SH,SOLE,348305,0,0,0001631134,06-30-2020,13F-HR,false,"Sofinnova Investments, Inc.",08-13-2020,,,LQDA
