nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBVIE INC,COM,00287Y109,3810,50000,SH,SOLE,50000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,ABBV
ADAMAS PHARMACEUTICALS INC,COM,00548A106,578,200000,SH,SOLE,200000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,ADMS
ALEXION PHARMACEUTICALS INC,COM,015351109,2694,30000,SH,SOLE,30000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,ALXN
AMARIN CORP PLC,SPONS ADR NEW,023111206,800,200000,SH,SOLE,200000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,AMRN
AMERISOURCEBERGEN CORP,COM,03073E105,2655,30000,SH,SOLE,30000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,ABC
ANTARES PHARMA INC,COM,036642106,1180,500000,SH,SOLE,500000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,ATRS
ASTRAZENECA PLC,SPONSORED ADR,046353108,3351,75000,SH,SOLE,75000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,AZN
CARDINAL HEALTH INC,COM,14149Y108,3596,75000,SH,SOLE,75000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,CAH
CLOVIS ONCOLOGY INC,COM,189464100,1590,250000,SH,SOLE,250000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,CLVS
CLOVIS ONCOLOGY INC,COM,189464100,636,100000,SH,SOLE,100000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,CLVS
CVS HEALTH CORP,COM,126650100,1483,25000,SH,SOLE,25000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,
DIREXION SHS ETF TR,DRX SP500BULL,25459W862,3126,120000,SH,SOLE,120000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,
GILEAD SCIENCES INC,COM,375558103,3738,50000,SH,SOLE,50000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,GILD
GILEAD SCIENCES INC,COM,375558103,3738,50000,SH,SOLE,50000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,GILD
GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,3789,100000,SH,SOLE,100000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,GSK
GREENLANE HLDGS INC,CL A,395330103,387,225000,SH,SOLE,225000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,
JAZZ PHARMACEUTICALS PLC,SHS USD,G50871105,2992,30000,SH,SOLE,30000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,JAZZ
LABORATORY CORP AMER HLDGS,COM NEW,50540R409,3160,25000,SH,SOLE,25000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,LH
MCKESSON CORP,COM,58155Q103,3382,25000,SH,SOLE,25000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,CAKFF
MENLO THERAPEUTICS INC,COM,586858102,2278,850000,SH,SOLE,850000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,
PROSHARES TR,ULTRAPRO SHORT S,74347B268,1809,75000,SH,SOLE,75000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,
PROSHARES TR,ULTRAPRO SHORT S,74347B268,3618,150000,SH,SOLE,150000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,
PROSHARES TR,ULTSH NASD BIOT,74347B789,1058,75000,SH,SOLE,75000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,
TYME TECHNOLOGIES INC,COM,90238J103,2393,2175000,SH,SOLE,2175000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,TYME
VIKING THERAPEUTICS INC,COM,92686J106,468,100000,SH,SOLE,100000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,Call,VKTX
WALGREENS BOOTS ALLIANCE INC,COM,931427108,1144,25000,SH,SOLE,25000,0,0,0001458461,03-31-2020,13F-HR,false,"Healthcare Value Capital, LLC",05-15-2020,,
