nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
89BIO INC,COM,282559103,408,20478,SH,SOLE, ,20478,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ETNB
ACCURAY INC,COM,004397105,1369,674300,SH,SOLE, ,674300,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ARAY
AERIE PHARMACEUTICALS INC,COM,00771V108,4125,279440,SH,SOLE, ,279440,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AERI
AFFIMED NV,COM,N01045108,3900,845000,SH,SOLE, ,845000,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AFMD
AILERON THERAPEUTICS INC,COM,00887A105,531,450000,SH,SOLE, ,450000,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ALRN
AKEBIA THERAPEUTICS INC,COM,00972D105,10357,762666,SH,SOLE, ,762666,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AKBA
ALECTOR INC,COM,014442107,3422,140000,SH,SOLE, ,140000,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ALEC
APELLIS PHARMACEUTICALS INC,COM,03753U106,1096,33554,SH,SOLE, ,33554,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,APLS
APPLIED GENETIC TECHNOL CORP,COM,03820J100,6431,1160878,SH,SOLE, ,1160878,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AGTC
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,6965,149017,SH,SOLE, ,149017,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ARCT
ARCUS BIOSCIENCES INC,COM,03969F109,1784,72100,SH,SOLE, ,72100,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,RCUS
ARDELYX INC,COM,039697107,1279,184850,SH,SOLE, ,184850,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ARDX
ARENA PHARMACEUTICALS INC,COM NEW,040047607,15432,245142,SH,SOLE, ,245142,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ARNA
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,2106,14237,SH,SOLE, ,14237,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ASND
ASLAN PHARMACEUTICALS LTD,ADS,04522R101,172,86082,SH,SOLE, ,86082,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ASLN
ASSEMBLY BIOSCIENCES INC,COM,045396108,830,35573,SH,SOLE, ,35573,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ASMB
ATRICURE INC,COM,04963C209,5989,133229,SH,SOLE, ,133229,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,ATRC
AUTOLUS THERAPEUTICS PLC,SPON ADS,05280R100,1030,64235,SH,SOLE, ,64235,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AUTL
AXOVANT GENE THERAPIES LTD,COM,G0750W203,2835,1005391,SH,SOLE, ,1005391,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,AXGT
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,3545,744051,SH,SOLE, ,744051,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,BCRX
BIOHAVEN PHARMACEUTICALS HOLD,COM,G11196105,6404,87600,SH,SOLE, ,87600,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,BHVN
BIOTELEMETRY INC,COM,090672106,2734,60500,SH,SOLE, ,60500,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,BEAT
BLUEBIRD BIO INC,COM,09609G100,1848,30273,SH,SOLE, ,30273,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,BLUE
BLUEPRINT MEDICINES CORP,COM,09627Y109,17791,228089,SH,SOLE, ,228089,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,BPMC
CARA THERAPEUTICS INC,COM,140755109,6345,371033,SH,SOLE, ,371033,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CARA
CARDIOVASCULAR SYSTEMS INC,COM,141619106,4770,151200,SH,SOLE, ,151200,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CSII
CERECOR INC,COM,15671L109,827,318000,SH,SOLE, ,318000,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CERC
COMPUGEN LTD,ORD,M25722105,5153,343046,SH,SOLE, ,343046,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CGEN
CONSTELLATION PHARMACEUTICAL,COM,210373106,5137,170942,SH,SOLE, ,170942,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CNST
CORBUS PHARMACEUTICALS HLDGS,COM,21833P103,907,108061,SH,SOLE, ,108061,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CRBP
CYMABAY THERAPEUTICS INC,COM,23257D103,578,165600,SH,SOLE, ,165600,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CBAY
CYTOMX THERAPEUTICS INC,COM,23284F105,51,6100,SH,SOLE, ,6100,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,CTMX
DEXCOM INC,COM,252131107,8569,21138,SH,SOLE, ,21138,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,DXCM
DICERNA PHARMACEUTICALS INC,COM,253031108,11538,454236,SH,SOLE, ,454236,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,DRNA
FATE THERAPEUTICS INC,COM,31189P102,16841,490861,SH,SOLE, ,490861,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,FATE
GALAPAGOS NV,SPON ADR,36315X101,8755,44375,SH,SOLE, ,44375,0,0,0001389933,06-30-2020,13F-HR,false,DAFNA Capital Management LLC,08-14-2020,GLPG
