nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
AC IMMUNE SA,SHS,H00263105,78377,11342505,SH,DFND,1,0,11342505,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,ACIU
AKERO THERAPEUTICS INC,COM,00973Y108,5997,282862,SH,DFND,1,0,282862,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,AKRO
ALPINE IMMUNE SCIENCES INC,COM,02083G100,3277,1137764,SH,DFND,1,0,1137764,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,ALPN
ANAPTYSBIO INC,COM,032724106,23883,1690237,SH,DFND,1,0,1690237,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,ANAB
ARCUS BIOSCIENCES INC,COM,03969F109,535,38574,SH,DFND,1,0,38574,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,RCUS
ARGENX SE,SPONSORED ADR,04016X101,3293,25000,SH,DFND,1,0,25000,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,ARGX
BIOLINERX LTD,SPONSORED ADS,09071M205,2305,1733036,SH,DFND,1,0,1733036,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,BLRX
BLACK DIAMOND THERAPEUTICS INC,COM,09203E105,9451,378788,SH,DFND,1,0,378788,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,BDTX
CALITHERA BIOSCIENCES INC,COM,13089P101,42445,9559642,SH,DFND,1,0,9559642,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CALA
CIDARA THERAPEUTICS INC,COM,171757107,9487,3825315,SH,DFND,1,0,3825315,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CDTX
CORVUS PHARMACEUTICALS INC,COM,221015100,4551,2156740,SH,DFND,1,0,2156740,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CRVS
CTI BIOPHARMA CORP,COM,12648L601,6375,6929690,SH,DFND,1,0,6929690,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CTIC
CYTOKINETICS INC,COM NEW,23282W605,46432,3938280,SH,DFND,1,0,3938280,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CYTK
CYTOMX THERAPEUTICS INC,COM,23284F105,30082,3921973,SH,DFND,1,0,3921973,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,CTMX
EIGER BIOPHARMACEUTICALS INC,COM,28249U105,463,68054,SH,DFND,1,0,68054,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,EIGR
ERYTECH PHARMA,SPONSORED ADR,29604W108,3338,625000,SH,DFND,1,0,625000,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,ERYP
ESSA PHARMA INC,COM NEW,29668H708,9682,2420565,SH,DFND,1,0,2420565,0,0001056807,03-31-2020,13F-HR,false,BVF INC/IL,05-15-2020,EPIX
