nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
Arcutis Biothereapeutics,Common Stock,03969K108,25543,844680,SH,SOLE,844680,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,ARQT
Beam Therapeutics,Common Stock,07373V105,8479,302821,SH,SOLE,302821,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,BEAM
Cidara Therapeutics,Common Stock,171757107,7399,2005249,SH,SOLE,2005249,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,CDTX
ESSA Pharma,Common Stock,29668H708,9284,1497448,SH,SOLE,1497448,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,EPIX
FibroGen,Common Stock,31572Q808,5295,130646,SH,SOLE,130646,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,FGEN
Gossamer Bio,Common Stock,38341P102,43168,3320608,SH,SOLE,3320608,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,GOSS
Immunic,Common Stock,4525EP101,16623,1371494,SH,SOLE,1371494,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,IMUX
Jounce Therapeutics,Common Stock,481116101,3657,529965,SH,SOLE,529965,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,JNCE
Morphic Holding,Common Stock,61775R105,80489,2975582,SH,SOLE,2975582,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,MORF
ObsEva,Common Stock,H5861P103,5886,999364,SH,SOLE,999364,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,OBSV
Paratek Pharmaceuticals,Common Stock,699374302,13586,2602739,SH,SOLE,2602739,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,PRTK
Pieris Pharmaceuticals,Common Stock,720795103,2327,750741,SH,SOLE,750741,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,PIRS
Prevail Therapeutics,Common Stock,74140Y101,2794,187538,SH,SOLE,187538,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,PRVL
Replimune Group,Common Stock,76029N106,132161,5344971,SH,SOLE,5344971,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,REPL
Trevi Therapeutics,Common Stock,89532M101,9053,1375907,SH,SOLE,1375907,0,0,0001637359,06-30-2020,13F-HR,false,"Omega Fund Management, LLC",08-14-2020,TRVI
