nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ACCELERON PHARMA INC,COM,00434H108,40168,421619,SH,DFND,1,421619,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,XLRN
ADAPTHEALTH CORP,COM CL A,00653Q102,22368,1389341,SH,DFND,1,1389341,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,
ADC THERAPEUTICS SA,SHS,H0036K147,23405,500000,SH,DFND,1,500000,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ADCT
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,17412,833895,SH,DFND,1,833895,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ADVM
AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,7631,825000,SH,DFND,1,825000,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,AGLE
AERIE PHARMACEUTICALS INC,COM,00771V108,7295,494216,SH,DFND,1,494216,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,AERI
AKOUOS INC,COM,00973J101,7156,318034,SH,DFND,1,318034,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,AKUS
ALECTOR INC,COM,014442107,40986,1676997,SH,DFND,1,1676997,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ALEC
ALEXION PHARMACEUTICALS INC,COM,015351109,20877,186000,SH,DFND,1,186000,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ALXN
AMICUS THERAPEUTICS INC,COM,03152W109,21353,1416000,SH,DFND,1,1416000,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,FOLD
APPLIED THERAPEUTICS INC,COM,03828A101,10063,278359,SH,DFND,1,278359,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,APLT
ARDELYX INC,COM,039697107,17726,2561554,SH,DFND,1,2561554,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ARDX
ARVINAS INC,COM,04335A105,33830,1008656,SH,DFND,1,1008656,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,ARVN
ARYA SCIENCES ACQUISTION CO,UNIT 06/09/2027,G31655114,5798,500000,SH,DFND,1,500000,0,0,0001009258,06-30-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",08-14-2020,
