nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABIOMED INC,COM,003654100,54580,376000,SH,DFND,1,376000,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ABMD
ACCELERON PHARMA INC,COM,00434H108,30825,343000,SH,DFND,1,343000,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,XLRN
ADAPTHEALTH CORP,COM CL A,00653Q102,275198,17199888,SH,DFND,1,17199888,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,20273,2075000,SH,DFND,1,2075000,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ADVM
AERIE PHARMACEUTICALS INC,COM,00771V108,34184,2532147,SH,DFND,1,2532147,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,AERI
ALECTOR INC,COM,014442107,41962,1738997,SH,DFND,1,1738997,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ALEC
AMICUS THERAPEUTICS INC,COM,03152W109,30067,3253960,SH,DFND,1,3253960,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,FOLD
APPLIED THERAPEUTICS INC,COM,03828A101,9100,278359,SH,DFND,1,278359,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,APLT
ARDELYX INC,COM,039697107,17527,3083000,SH,DFND,1,3083000,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ARDX
ARGENX SE,SPONSORED ADR,04016X101,19994,151779,SH,DFND,1,151779,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ARGX
ARTARA THERAPEUTICS INC,COM,04300J107,9951,432670,SH,DFND,1,432670,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,
ARVINAS INC,COM,04335A105,48881,1212922,SH,DFND,1,1212922,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,ARVN
AVROBIO INC,COM,05455M100,17503,1124879,SH,DFND,1,1124879,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,AVRO
AXOGEN INC,COM,05463X106,9755,937983,SH,DFND,1,937983,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,AXGN
AXONICS MODULATION TECHNOLOG,COM,05465P101,45601,1794594,SH,DFND,1,1794594,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,AXNX
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,9306,4652926,SH,DFND,1,4652926,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,BCRX
BIODELIVERY SCIENCES INTL IN,COM,09060J106,23438,6184243,SH,DFND,1,6184243,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,BDSI
BLACK DIAMOND THERAPEUTICS I,COM,09203E105,13373,536001,SH,DFND,1,536001,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,BDTX
BLUEPRINT MEDICINES CORP,COM,09627Y109,26782,457968,SH,DFND,1,457968,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,BPMC
BROOKDALE SR LIVING INC,COM,112463104,57415,18402355,SH,DFND,1,18402355,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,BKD
CABALETTA BIO INC,COM,12674W109,9375,1284313,SH,DFND,1,1284313,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,CABA
CENTENE CORP DEL,COM,15135B101,75285,1267206,SH,DFND,1,1267206,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,CNC
CERUS CORP,COM,157085101,10252,2204700,SH,DFND,1,2204700,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,CERS
CHANGE HEALTHCARE INC,COM,15912K100,2146,214789,SH,DFND,1,214789,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,
CLOVIS ONCOLOGY INC,NOTE 2.500% 9/1,189464AB6,43581,49064000,PRN,DFND,1,49064000,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,
CONSTELLATION PHARMCETICLS I,COM,210373106,29987,954100,SH,DFND,1,954100,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,CNST
DBV TECHNOLOGIES S A,SPONSORED ADR,23306J101,20422,5209692,SH,DFND,1,5209692,0,0,0001009258,03-31-2020,13F-HR,false,"DEERFIELD MANAGEMENT COMPANY, L.P. (SERIES C)",05-15-2020,DBVT
