nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
10x Genomics Inc,CL A COM,88025U109,56809,636092,SH,SOLE,"1,2,3",636092,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,TXG
Adaptimmune Therapeutics PLC,SPONDS ADR,00653A107,26026,2600000,SH,SOLE,"1,2,3",2600000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ADAP
Adverum Biotechnologies Inc,COM,00773U108,141776,6790027,SH,SOLE,"1,2,3",6790027,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ADVM
Agenus Inc,COM NEW,00847G705,50558,12864677,SH,SOLE,"1,2,3",12864677,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,AGEN
Alnylam Pharmaceuticals Inc,COM,02043Q107,249068,1681645,SH,SOLE,"1,2,3",1681645,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ALNY
Amyris Inc,COM NEW,03236M200,12401,3103535,SH,SOLE,"1,2,3",3103535,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Apyx Med Corp,COM,03837C106,18822,3391279,SH,SOLE,"1,2,3",3391279,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,APYX
Arbutus Biopharma Corp,COM,03879J100,12502,6869281,SH,SOLE,"1,2,3",6869281,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ABUS
argenx SE,SPONSORED ADR,04016X101,7152,31752,SH,SOLE,"1,2",31752,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ARGX
Arvinas Inc,COM,04335A105,5840,174118,SH,SOLE,"1,2,3",174118,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ARVN
ARYA Sciences Acquistion Co,UNIT 06/09/2027,G31655114,5798,500000,SH,SOLE,"1,2,3",500000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Avadel Pharmaceuticals plc,SPONSORED ADR,05337M104,42877,5306570,SH,SOLE,"1,2,3",5306570,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,AVDL
Avidity Biosciences Inc,COM,05370A108,103863,3995000,SH,SOLE,"1,2,3",3995000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,RNA
Axonics Modulation Technolog,COM,05465P101,66121,1883257,SH,SOLE,"1,2,3",1883257,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,AXNX
Axsome Therapeutics Inc,COM,05464T104,136446,1658316,SH,SOLE,"1,2,3",1658316,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,AXSM
Baxter Intl Inc,COM,071813109,83463,969370,SH,SOLE,"1,2,3",969370,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,BAX
Bellus Health Inc New,COM NEW,07987C204,61550,5970230,SH,SOLE,"1,2,3",5970230,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,BLU
BiomX Inc,*W EXP 10/16/202,09090D111,287,600000,SH,SOLE,"1,2",600000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Biomx Inc,COM,09090D103,3312,600000,SH,SOLE,"1,2",600000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Brainsway Ltd,SPONSORED ADS,10501L106,6556,1107420,SH,SOLE,"1,2,3",1107420,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,BRSYF
Burning Rock Biotech Ltd,SPONSORED ADS,12233L107,810,30000,SH,SOLE,"1,2,3",30000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,BNR
Castle Biosciences Inc,COM,14843C105,30284,803510,SH,SOLE,"1,2,3",803510,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,CSTL
Celldex Therapeutics Inc New,COM NEW,15117B202,33930,2610000,SH,SOLE,"1,2,3",2610000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,CLDX
Cerner Corp,COM,156782104,81054,1182409,SH,SOLE,"1,2,3",1182409,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Chardan Healthcr Acqstn 2 Co,UNIT 99/99/9999,15957T206,3675,350000,SH,SOLE,"1,2,3",350000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Clearside Biomedical Inc,COM,185063104,7365,3917622,SH,SOLE,"1,2,3",3917622,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,CLSD
Cytomx Therapeutics Inc,COM,23284F105,12616,1514476,SH,SOLE,"1,2,3",1514476,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,CTMX
DermTech Inc,COM,24984K105,37782,2855765,SH,SOLE,"1,2,3",2855765,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Dicerna Pharmaceuticals Inc,COM,253031108,181684,7152918,SH,SOLE,"1,2,3",7152918,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,DRNA
Establishment Labs Hldgs Inc,COM,G31249108,43322,2319138,SH,SOLE,"1,2,3",2319138,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ESTA
Exagen Inc,COM,30068X103,15576,1255131,SH,SOLE,"1,2,3",1255131,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,XGN
Frequency Therapeutics Inc,COM,35803L108,50255,2161486,SH,SOLE,"1,2,3",2161486,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,FREQ
Fulgent Genetics Inc,COM,359664109,1200,75000,SH,SOLE,"1,2,3",75000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,FLGT
GenMark Diagnostics Inc,COM,372309104,13757,935206,SH,SOLE,"1,2,3",935206,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,GNMK
Homology Medicines Inc,COM,438083107,66110,4352190,SH,SOLE,"1,2,3",4352190,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,FIXX
Immunovant Inc,COM,45258J102,139213,5717182,SH,SOLE,"1,2,3",5717182,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Inari Med Inc,COM,45332Y109,2173,44860,SH,SOLE,"1,2,3",44860,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,NARI
Inmode Ltd,SHS,M5425M103,7080,250000,SH,SOLE,"1,2",250000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,INMD
Itamar Med Ltd,SPONSORED ADS,465437101,8504,457218,SH,SOLE,"1,2,3",457218,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ITMR
IVERIC bio Inc,COM,46583P102,33642,6596536,SH,SOLE,"1,2,3",6596536,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ISEE
Johnson  Johnson,COM,478160104,17840,126858,SH,SOLE,"1,2",126858,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,JNJ
La Jolla Pharmaceutical Co,COM PAR $.0001 2,503459604,10117,2374952,SH,SOLE,"1,2,3",2374952,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,LJPC
Lifesci Acquisition Corp,UNIT 03/31/2025,53228P208,5500,500000,SH,SOLE,"1,2,3",500000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
MacroGenics Inc,COM,556099109,34783,1245816,SH,SOLE,"1,2,3",1245816,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,MGNX
Masimo Corp,COM,574795100,88637,388776,SH,SOLE,"1,2,3",388776,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,MASI
Milestone Pharmaceuticals In,COM,59935V107,16311,4315102,SH,SOLE,"1,2,3",4315102,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,MIST
MiMedx Group Inc,COM,602496101,14582,2700320,SH,SOLE,"1,2,3",2700320,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Mirati Therapeutics Inc,COM,60468T105,124186,1087726,SH,SOLE,"1,2,3",1087726,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,MRTX
Motus Gi Hldgs Inc,COM,62014P108,1024,775640,SH,SOLE,"1,2",775640,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Myokardia Inc,COM,62857M105,90526,936931,SH,SOLE,"1,2,3",936931,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,MYOK
NanoString Technologies Inc,COM,63009R109,27798,947134,SH,SOLE,"1,2,3",947134,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,NSTG
Natera Inc,COM,632307104,76242,1529128,SH,SOLE,"1,2,3",1529128,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,NTRA
Neogenomics Inc,COM NEW,64049M209,13786,445000,SH,SOLE,"1,2,3",445000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,NEO
Odonate Therapeutics Inc,COM,676079106,20367,481027,SH,SOLE,"1,2,3",481027,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,ODT
OraSure Technologies Inc,COM,68554V108,17922,1540972,SH,SOLE,"1,2,3",1540972,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,OSUR
Oyster Pt Pharma Inc,COM,69242L106,55142,1909360,SH,SOLE,"1,2,3",1909360,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,OYST
Personalis Inc,COM,71535D106,3307,255000,SH,SOLE,"1,2",255000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,PSNL
Profound Med Corp,COM NEW,74319B502,2951,174193,SH,SOLE,"1,2,3",174193,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,
Progenity Inc,COM,74319F107,2475,275000,SH,SOLE,"1,2,3",275000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,PROG
ProQR Thrapeutics N V,SHS EURO,N71542109,29809,4902785,SH,SOLE,"1,2,3",4902785,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,PRQR
Protagonist Therapeutics Inc,COM,74366E102,59747,3383208,SH,SOLE,"1,2,3",3383208,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,PTGX
PTC Therapeutics Inc,COM,69366J200,201089,3963120,SH,SOLE,"1,2,3",3963120,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,PTCT
Regenxbio Inc,COM,75901B107,11639,316028,SH,SOLE,"1,2,3",316028,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,RGNX
Relmada Therapeutics Inc,COM,75955J402,66268,1480852,SH,SOLE,"1,2,3",1480852,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,RLMD
Repare Therapeutics Inc,COM,760273102,6980,225000,SH,SOLE,"1,2,3",225000,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,RPTX
Rocket Pharmaceuticals Inc,COM,77313F106,351885,16812491,SH,SOLE,"1,2,3,4",16812491,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,RCKT
STAAR Surgical Co,COM PAR $0.01,852312305,19010,308904,SH,SOLE,"1,2,3",308904,0,0,0001493215,06-30-2020,13F-HR,false,"RTW INVESTMENTS, LP",08-14-2020,STAA
