nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ABBOTT LABORATORIES,Equity,002824100,6857,75000,SH,SOLE,75000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,ABT
AMYRIS INC,Equity,03236M200,5693,1333333,SH,SOLE,1333333,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
ATRICURE INC,Equity,04963C209,10114,225000,SH,SOLE,225000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,ATRC
BIO-RAD LABORATORIES-A,Equity,090572207,13545,30000,SH,SOLE,30000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
QUEST DIAGNOSTICS INC,Equity,74834L100,31339,275000,SH,SOLE,275000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,DGX
GLD US 01/15/21 C150,Listed Option,78463V907,8208,4000,SH,SOLE,4000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,Call,
GW PHARMACEUTICALS -ADR,Depository Receipt,36197T103,11045,90000,SH,SOLE,90000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,GWPH
HOLOGIC INC,Equity,436440101,18525,325000,SH,SOLE,325000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,HOLX
ICU MEDICAL INC,Equity,44930G107,14376,78000,SH,SOLE,78000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,ICUI
IVERIC BIO INC,Equity,46583P102,5100,1000000,SH,SOLE,1000000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,ISEE
LABORATORY CRP OF AMER HLDGS,Equity,50540R409,9136,55000,SH,SOLE,55000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,LH
LANTHEUS HOLDINGS INC,Equity,516544103,13585,950000,SH,SOLE,950000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,LNTH
ALLSCRIPTS HEALTHCARE SOLUTI,Equity,01988P108,10832,1600000,SH,SOLE,1600000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
MEDTRONIC PLC,Equity,585055106,13755,150000,SH,SOLE,150000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
MISONIX INC,Equity,604871103,4370,322041,SH,SOLE,322041,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,MSON
MYLAN NV,Equity,628530107,6432,400000,SH,SOLE,400000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
NATERA INC,Equity,632307104,2992,60000,SH,SOLE,60000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,NTRA
NUANCE COMMUNICATIONS INC,Equity,67020Y100,14550,575000,SH,SOLE,575000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
OPTINOSE INC,Equity,68404V100,11346,1525000,SH,SOLE,1525000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,OPTN
PACIRA BIOSCIENCES INC,Equity,695127100,36729,700000,SH,SOLE,700000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,PCRX
PHREESIA INC,Equity,71944F106,11312,400000,SH,SOLE,400000,0,0,0001661462,06-30-2020,13F-HR,false,"Tamarack Advisers, LP",07-09-2020,,
