nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,34501,713125,SH,SOLE,713125,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,38941,1865000,SH,SOLE,1865000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,ADVM
AGIOS PHARMACEUTICALS INC,COM,00847X104,57224,1070000,SH,SOLE,1070000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,AGIO
ALECTOR INC,COM,014442107,26298,1076039,SH,SOLE,1076039,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,ALEC
ALLOGENE THERAPEUTICS INC,COM,019770106,26763,625000,SH,SOLE,625000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,ALLO
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,81461,550000,SH,SOLE,550000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,ALNY
AMYRIS INC,COM NEW,03236M200,22842,5349376,SH,SOLE,5349376,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,
BLACK DIAMOND THERAPEUTICS I,COM,09203E105,12201,289395,SH,SOLE,289395,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BDTX
BEIGENE LTD,SPONSORED ADR,07725L102,28260,150000,SH,SOLE,150000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BGNE
BIOLIFE SOLUTIONS INC,COM NEW,09062W204,79290,4849524,SH,SOLE,4849524,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BLFS
BLUEBIRD BIO INC,COM,09609G100,67449,1105000,SH,SOLE,1105000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BLUE
BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,46749,1730786,SH,SOLE,1730786,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BNR
BLUEPRINT MEDICINES CORP,COM,09627Y109,120900,1550000,SH,SOLE,1550000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,BPMC
CAREDX INC,COM,14167L103,42280,1193335,SH,SOLE,1193335,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,CDNA
CODEXIS INC,COM,192005106,53497,4692732,SH,SOLE,4692732,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,
CONSTELLATION PHARMCETICLS I,COM,210373106,29449,980000,SH,SOLE,980000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,CNST
CRISPR THERAPEUTICS AG,NAMEN AKT,H17182108,19580,266430,SH,SOLE,266430,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,CRSP
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,3882,65000,SH,SOLE,65000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,DCPH
DERMTECH INC,COM,24984K105,18900,1428572,SH,SOLE,1428572,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,
DENALI THERAPEUTICS INC,COM,24823R105,31676,1310000,SH,SOLE,1310000,0,0,0001534261,06-30-2020,13F-HR,false,"Casdin Capital, LLC",08-14-2020,DNLI
