nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABIOMED INC,COM,003654100,72978,502745,SH,SOLE,0,502745,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,ABMD
ACADIA PHARMACEUTICALS INC,COM,004225108,68932,1631524,SH,SOLE,0,1631524,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,ACAD
AIMMUNE THERAPEUTICS INC,COM,00900T107,47524,3295712,SH,SOLE,0,3295712,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,
ALDEYRA THERAPEUTICS INC,COM,01438T106,182,73500,SH,SOLE,0,73500,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,ALDX
ALEXION PHARMACEUTICALS INC,COM,015351109,57689,642491,SH,SOLE,0,642491,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,13256,76205,SH,SOLE,0,76205,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,ALGN
ALIMERA SCIENCES INC,COM,016259103,804,200919,SH,SOLE,0,200919,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,
AMAG PHARMACEUTICALS INC,COM,00163U106,18557,3002748,SH,SOLE,0,3002748,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,AMAG
AMICUS THERAPEUTICS INC,COM,03152W109,68816,7447618,SH,SOLE,0,7447618,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,FOLD
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,130482,1544163,SH,SOLE,0,1544163,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,BMRN
CLOVIS ONCOLOGY INC,COM,189464100,29484,4635789,SH,SOLE,0,4635789,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,CLVS
CYTOKINETICS INC,COM,23282W605,1458,123686,SH,SOLE,0,123686,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,CYTK
DICERNA PHARMACEUTICALS INC,COM,253031108,6095,331813,SH,SOLE,0,331813,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,DRNA
EPIZYME INC,COM,29428V104,86108,5551803,SH,SOLE,0,5551803,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,EPZM
IDERA PHARMACEUTICALS INC,COM,45168K405,102,77044,SH,SOLE,0,77044,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,IDRA
IMMUNOMEDICS INC,COM,452907108,71319,5290746,SH,SOLE,0,5290746,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,IMMU
INSMED INC,COM,457669307,97072,6055623,SH,SOLE,0,6055623,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,INSM
INTRA-CELLULAR THERAPIES INC,COM,46116X101,575,37400,SH,SOLE,0,37400,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,
KALEIDO BIOSCIENCES INC,COM,483347100,4846,787999,SH,SOLE,0,787999,0,0,0001306923,03-31-2020,13F-HR,false,Palo Alto Investors LP,05-15-2020,KLDO
