nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
10x Genomics Inc,CL A COM,88025U109,11848,190109,SH,SOLE,"1,2,3",190109,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,TXG
Adverum Biotechnologies Inc,COM,00773U108,64791,6631627,SH,SOLE,"1,2,3",6631627,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,ADVM
Agenus Inc,COM NEW,00847G705,32087,13096625,SH,SOLE,"1,2,3",13096625,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,AGEN
Alnylam Pharmaceuticals Inc,COM,02043Q107,183047,1681645,SH,SOLE,"1,2,3",1681645,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,ALNY
Apyx Med Corp,COM,03837C106,12175,3391279,SH,SOLE,"1,2,3",3391279,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,APYX
Arbutus Biopharma Corp,COM,03879J100,6938,6869281,SH,SOLE,"1,2,3",6869281,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,ABUS
argenx SE,SPONSORED ADR,04016X101,4183,31752,SH,SOLE,"1,2",31752,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,ARGX
Arvinas Inc,COM,04335A105,13901,344937,SH,SOLE,"1,2,3",344937,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,ARVN
Avadel Pharmaceuticals plc,SPONSORED ADR,05337M104,36253,4616570,SH,SOLE,"1,2,3",4616570,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,AVDL
Axonics Modulation Technolog,COM,05465P101,43426,1709000,SH,SOLE,"1,2,3",1709000,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,AXNX
Axsome Therapeutics Inc,COM,05464T104,61946,1052969,SH,SOLE,"1,2,3",1052969,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,AXSM
Bellus Health Inc New,COM NEW,07987C204,54732,5490992,SH,SOLE,"1,2,3",5490992,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,BLU
BiomX Inc,*W EXP 10/16/202,09090D111,360,600000,SH,SOLE,"1,2",600000,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,
Biomx Inc,COM,09090D103,4200,600000,SH,SOLE,"1,2",600000,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,
Brainsway Ltd,SPONSORED ADS,10501L106,8793,1107420,SH,SOLE,"1,2,3",1107420,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,BRSYF
Bristol-Myers Squibb Co,COM,110122108,93974,1685934,SH,SOLE,"1,2,3",1685934,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,BMY
Castle Biosciences Inc,COM,14843C105,20811,698118,SH,SOLE,"1,2,3",698118,0,0,0001493215,03-31-2020,13F-HR,false,"RTW INVESTMENTS, LP",05-15-2020,CSTL
