nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ABBOTT LABS,COM,002824100,58349,638180,SH,SOLE,638180,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ABT
ABBVIE INC,COM,00287Y109,129359,1317570,SH,SOLE,1317570,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ABBV
ACADIA PHARMACEUTICALS INC,COM,004225108,49682,1025000,SH,SOLE,1025000,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ACAD
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,16709,345370,SH,SOLE,345370,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,
AKOUOS INC,COM,00973J101,2250,100000,SH,SOLE,100000,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,AKUS
ALEXION PHARMACEUTICALS INC,COM,015351109,74809,666510,SH,SOLE,666510,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,13527,49290,SH,SOLE,49290,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ALGN
AMGEN INC,COM,031162100,61135,259200,SH,SOLE,259200,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,AMGN
ARCTURUS THERAPEUTICS HLDG I,COM,03969T109,4403,94200,SH,SOLE,94200,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ARCT
ARENA PHARMACEUTICALS INC,COM NEW,040047607,30245,480460,SH,SOLE,480460,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,ARNA
AURINIA PHARMACEUTICALS INC,COM,05156V102,154398,9501398,SH,SOLE,9501398,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,AUPH
AVIDITY BIOSCIENCES INC,COM,05370A108,1413,50000,SH,SOLE,50000,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,RNA
BECTON DICKINSON  CO,COM,075887109,145110,606470,SH,SOLE,606470,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,BDX
BIONTECH SE,SPONSORED ADS,09075V102,33632,503920,SH,SOLE,503920,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,BNTX
BLUEBIRD BIO INC,COM,09609G100,15913,260700,SH,SOLE,260700,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,BLUE
BLUEPRINT MEDICINES CORP,COM,09627Y109,57955,743018,SH,SOLE,743018,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,BPMC
BRISTOL-MYERS SQUIBB CO,COM,110122108,62475,1062500,SH,SOLE,1062500,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,BMY
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,3992,1115000,SH,SOLE,1115000,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,
CHARLES RIV LABS INTL INC,COM,159864107,17562,100730,SH,SOLE,100730,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,
CIGNA CORP NEW,COM,125523100,88638,472360,SH,SOLE,472360,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,CI
DANAHER CORPORATION,COM,235851102,66606,376665,SH,SOLE,376665,0,0,0001343781,06-30-2020,13F-HR,false,"HealthCor Management, L.P.",08-14-2020,DHR
