nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
ACADIA PHARMACEUTICALS INC,COM,004225108,63,1500,SH,SOLE,1500,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,ACAD
AMARIN CORP PLC,SPONSORED ADR,023111206,1820,455000,SH,SOLE,455000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,AMRN
APTOSE BIOSCIENCES INC,COM NEW,03835T200,23891,4022000,SH,SOLE,4022000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,APTO
ARTARA THERAPEUTICS INC,COM,04300J107,52142,2208472,SH,SOLE,2208472,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
AVENUE THERAPEUTICS INC,COM NEW,05360L205,9253,1035000,SH,SOLE,1035000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,ATXI
BIOLINERX LTD,SPONSORED ADR,09071M106,22,16667,SH,SOLE,16667,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
CATALYST PHARMACEUTICALS INC,COM,14888U101,4043,1050000,SH,SOLE,1050000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,CPRX
CERECOR INC,COM,15671L109,5464,2203100,SH,SOLE,2203100,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,CERC
CHEMOCENTRYX INC,COM,16383L106,14529,361600,SH,SOLE,361600,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,CCXI
CIDARA THERAPEUTICS INC,COM,171757107,2247,906056,SH,SOLE,906056,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,CDTX
CODEXIS INC,COM,192005106,15624,1400000,SH,SOLE,1400000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
CRINETICS PHARMACEUTICALS INC,COM,22663K107,5421,368750,SH,SOLE,368750,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,CRNX
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,9140,222000,SH,SOLE,222000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,DCPH
EDAP TMS SA,SPONSORED ADR,268311107,4979,2193500,SH,SOLE,2193500,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,EDAP
EIDOS THERAPEUTICS INC,COM,28249H104,15459,315550,SH,SOLE,315550,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,EIDX
ETON PHARMACEUTICALS INC,COM,29772L108,14924,3640000,SH,SOLE,3640000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,ETON
FIBROGEN INC,COM,31572Q808,5074,146000,SH,SOLE,146000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,FGEN
FLEXION THERAPEUTICS INC,COM,33938J106,2216,281600,SH,SOLE,281600,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,FLXN
FORTRESS BIOTECH INC,COM,034960Q19,7239,3830000,SH,SOLE,3830000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
FORTY SEVEN INC,COM,34983P104,36784,385500,SH,SOLE,385500,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
HARROW HEALTH,COM,45323A201,9550,2500000,SH,SOLE,2500000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,
KADMON HOLDINGS INC,COM,48283N106,4828,1152250,SH,SOLE,1152250,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,KDMN
KALA PHARMACEUTICALS INC,COM,483119103,7234,782000,SH,SOLE,782000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,KALA
KALVISTA PHARMACEUTICALS INC,COM,483497103,1721,225000,SH,SOLE,225000,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,KALV
MACROGENICS INC,COM,556099109,2458,422300,SH,SOLE,422300,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,MGNX
MAGENTA THERAPEUTICS INC,COM,55910K108,2730,434712,SH,SOLE,434712,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,MGTA
MINERVA NEUROSCIENCES INC,COM,603380106,2710,450100,SH,SOLE,450100,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,NERV
MOLECULAR TEMPLATES INC,COM,608550109,7089,533400,SH,SOLE,533400,0,0,0001595855,03-31-2020,13F-HR,false,Opaleye Management Inc.,05-15-2020,,MTEM
