nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,11662,1165000,SH,SOLE,1165000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ADAP
ADVERUM BIOTECHNOLOGIES INC,COM,00773U108,36467,1746500,SH,SOLE,1746500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ADVM
AGENUS INC,COM NEW,00847G705,3665,932500,SH,SOLE,932500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,AGEN
AKOUOS INC,COM,00973J101,500,22200,SH,SOLE,22200,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,AKUS
ALDEYRA THERAPEUTICS INC,COM,01438T106,3711,890000,SH,SOLE,890000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ALDX
ALTIMMUNE INC,COM NEW,02155H200,5757,537500,SH,SOLE,537500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,
APELLIS PHARMACEUTICALS INC,COM,03753U106,6205,190000,SH,SOLE,190000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,APLS
APPLIED THERAPEUTICS INC,COM,03828A101,6579,182000,SH,SOLE,182000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,APLT
ARROWHEAD PHARMACEUTICALS IN,COM,04280A100,2591,60000,SH,SOLE,60000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ARWR
ARVINAS INC,COM,04335A105,4125,123000,SH,SOLE,123000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,8208,55500,SH,SOLE,55500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ASND
AVADEL PHARMACEUTICALS PLC,SPONSORED ADR,05337M104,14158,1752218,SH,SOLE,1752218,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,AVDL
AVIDITY BIOSCIENCES INC,COM,05370A108,3321,117500,SH,SOLE,117500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,RNA
AXSOME THERAPEUTICS INC,COM,05464T104,7405,90000,SH,SOLE,90000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,AXSM
BELLUS HEALTH INC NEW,COM NEW,07987C204,7872,765000,SH,SOLE,765000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,BLU
BIOCRYST PHARMACEUTICALS,COM,09058V103,9054,1900000,SH,SOLE,1900000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,BCRX
BIOXCEL THERAPEUTICS INC,COM,09075P105,18050,340500,SH,SOLE,340500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,BTAI
CARDIFF ONCOLOGY INC,COM,14147L108,2042,407500,SH,SOLE,407500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,CRDF
CATALYST BIOSCIENCES INC,COM NEW,14888D208,8793,1497900,SH,SOLE,1497900,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,CBIO
CELLDEX THERAPEUTICS INC NEW,COM NEW,15117B202,13000,1000000,SH,SOLE,1000000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,CLDX
DICERNA PHARMACEUTICALS INC,COM,253031108,4318,170000,SH,SOLE,170000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,DRNA
EIGER BIOPHARMACEUTICALS INC,COM,28249U105,2808,292500,SH,SOLE,292500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,EIGR
FUSION PHARMACEUTICALS INC,COM,36118A100,2358,135000,SH,SOLE,135000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,FUSN
GENERATION BIO CO,COM,37148K100,2100,100000,SH,SOLE,100000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,GBIO
IMMUNOMEDICS INC,COM,452907108,19315,545000,SH,SOLE,545000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,IMMU
IMMUNOVANT INC,COM,45258J102,8523,350000,SH,SOLE,350000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,
IOVANCE BIOTHERAPEUTICS INC,COM,462260100,16196,590000,SH,SOLE,590000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,IOVA
IVERIC BIO INC,COM,46583P102,3506,687500,SH,SOLE,687500,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,ISEE
KADMON HLDGS INC,COM,48283N106,6554,1280000,SH,SOLE,1280000,0,0,0001582844,06-30-2020,13F-HR,false,"ACUTA CAPITAL PARTNERS, LLC",08-14-2020,KDMN
