nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
AGILENT TECHNOLOGIES INC,COM,00846U101,18386,256716,SH,SOLE,NONE,256716,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,A
ABBOTT LABS,COM,002824100,29223,370334,SH,SOLE,NONE,370334,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,ABT
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,5920,54384,SH,SOLE,NONE,54384,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,ALNY
ALEXION PHARMACEUTICALS INC,COM,015351109,15130,168503,SH,SOLE,NONE,168503,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,ALXN
ANTHEM INC,COM,036752103,20343,89602,SH,SOLE,NONE,89602,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,ANTM
BIOGEN INC,COM,09062X103,23766,75120,SH,SOLE,NONE,75120,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BIIB
BIO RAD LABS INC,CL A,090572207,11383,32470,SH,SOLE,NONE,32470,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,
BLUEBIRD BIO INC,COM,09609G100,2229,48490,SH,SOLE,NONE,48490,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BLUE
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,11795,139582,SH,SOLE,NONE,139582,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BMRN
BRISTOL MYERS SQUIBB CO,COM,110122108,37760,677433,SH,SOLE,NONE,677433,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BMY
BRUKER CORP,COM,116794108,11721,326846,SH,SOLE,NONE,326846,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BRKR
BOSTON SCIENTIFIC CORP,COM,101137107,31683,970982,SH,SOLE,NONE,970982,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,BSX
CARDINAL HEALTH INC,COM,14149Y108,9981,208192,SH,SOLE,NONE,208192,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,CAH
CLOVIS ONCOLOGY INC,COM,189464100,2392,376085,SH,SOLE,NONE,376085,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,CLVS
CVS HEALTH CORP,COM,126650100,7171,120860,SH,SOLE,NONE,120860,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,
QUEST DIAGNOSTICS INC,COM,74834L100,9077,113042,SH,SOLE,NONE,113042,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,DGX
ELANCO ANIMAL HEALTH INC,COM,28414H103,11234,501762,SH,SOLE,NONE,501762,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,
GILEAD SCIENCES INC,COM,375558103,14909,199419,SH,SOLE,NONE,199419,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,GILD
HUMANA INC,COM,444859102,14023,44657,SH,SOLE,NONE,44657,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,HUM
INCYTE CORP,COM,45337C102,33143,452583,SH,SOLE,NONE,452583,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,INCY
IONIS PHARMACEUTICALS INC,COM,462222100,13025,275481,SH,SOLE,NONE,275481,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,IONS
JOHNSON  JOHNSON,COM,478160104,15412,117532,SH,SOLE,NONE,117532,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,JNJ
LIVANOVA PLC,SHS,G5509L101,3231,71400,SH,SOLE,NONE,71400,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,LIVN
MERCK  CO INC,COM,58933Y105,28675,372695,SH,SOLE,NONE,372695,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,MRK
NUVASIVE INC,COM,670704105,15949,314828,SH,SOLE,NONE,314828,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,NUVA
PATTERSON COS INC,COM,703395103,8107,530217,SH,SOLE,NONE,530217,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,
PERKINELMER INC,COM,714046109,20967,278522,SH,SOLE,NONE,278522,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,PKI
PERRIGO CO PLC,SHS,G97822103,17132,356240,SH,SOLE,NONE,356240,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,PRGO
PTC THERAPEUTICS INC,COM,69366J200,3390,75996,SH,SOLE,NONE,75996,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,PTCT
ULTRAGENYX PHARMACEUTICAL IN,COM,90400D108,6446,145072,SH,SOLE,NONE,145072,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,RARE
UNITED THERAPEUTICS CORP DEL,COM,91307C102,15414,162554,SH,SOLE,NONE,162554,0,0,0001475373,03-31-2020,13F-HR,false,SECTOR GAMMA AS,05-11-2020,UTHR
