nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
10X GENOMICS INC,CL A COM,88025U109,6788,76000,SH,SOLE,76000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,TXG
ACADIA HEALTHCARE COMPANY IN,COM,00404A109,22608,900000,SH,SOLE,900000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ACHC
ACADIA PHARMACEUTICALS INC,COM,004225108,51136,1055000,SH,SOLE,1055000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ACAD
ACLARIS THERAPEUTICS INC,COM,00461U105,2663,1644015,SH,SOLE,1644015,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ACRS
ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,00653A107,19889,1986910,SH,SOLE,1986910,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ADAP
ADAPTIVE BIOTECHNOLOGIES COR,COM,00650F109,27819,575000,SH,SOLE,575000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
AEGLEA BIOTHERAPEUTICS INC,COM,00773J103,14712,1590528,SH,SOLE,1590528,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,AGLE
AGIOS PHARMACEUTICALS INC,COM,00847X104,63091,1179720,SH,SOLE,1179720,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,AGIO
AKERO THERAPEUTICS INC,COM,00973Y108,6055,242985,SH,SOLE,242985,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,AKRO
ALEXION PHARMACEUTICALS INC,COM,015351109,20596,183500,SH,SOLE,183500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,39245,143000,SH,SOLE,143000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ALGN
ALLAKOS INC,COM,01671P100,17177,239032,SH,SOLE,239032,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ALLK
ALLOGENE THERAPEUTICS INC,COM,019770106,18861,440468,SH,SOLE,440468,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ALLO
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,51098,345000,SH,SOLE,345000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ALNY
AMARIN CORP PLC,SPONS ADR NEW,023111206,32178,4650000,SH,SOLE,4650000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,AMRN
AMGEN INC,COM,031162100,29718,126000,SH,SOLE,126000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,AMGN
AMICUS THERAPEUTICS INC,COM,03152W109,15334,1016821,SH,SOLE,1016821,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,FOLD
ANAPTYSBIO INC,COM,032724106,6852,306713,SH,SOLE,306713,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ANAB
APPLIED THERAPEUTICS INC,COM,03828A101,35845,991573,SH,SOLE,991573,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,APLT
APREA THERAPEUTICS INC,COM,03836J102,20099,518290,SH,SOLE,518290,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,APRE
ARDELYX INC,COM,039697107,34705,5015109,SH,SOLE,5015109,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ARDX
ARGENX SE,SPONSORED ADR,04016X101,64754,287500,SH,SOLE,287500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ARGX
ARVINAS INC,COM,04335A105,16148,481468,SH,SOLE,481468,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ARVN
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,31577,213500,SH,SOLE,213500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ASND
ASSEMBLY BIOSCIENCES INC,COM,045396108,34955,1498915,SH,SOLE,1498915,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ASMB
BAXTER INTL INC,COM,071813109,55535,645000,SH,SOLE,645000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BAX
BEIGENE LTD,SPONSORED ADR,07725L102,40506,215000,SH,SOLE,215000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BGNE
BELLUS HEALTH INC NEW,COM NEW,07987C204,7163,696115,SH,SOLE,696115,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BLU
BIOGEN INC,COM,09062X103,48159,180000,SH,SOLE,180000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BIIB
BIOHAVEN PHARMACTL HLDG CO L,COM,G11196105,14901,203817,SH,SOLE,203817,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BHVN
BIOMARIN PHARMACEUTICAL INC,COM,09061G101,47794,387500,SH,SOLE,387500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BMRN
BLUEPRINT MEDICINES CORP,COM,09627Y109,74882,960029,SH,SOLE,960029,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BPMC
BOSTON SCIENTIFIC CORP,COM,101137107,38621,1100000,SH,SOLE,1100000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BSX
BRIGHT HORIZONS FAM SOL IN D,COM,109194100,11544,98500,SH,SOLE,98500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
BRISTOL-MYERS SQUIBB CO,RIGHT 99/99/9999,110122157,663,185150,SH,SOLE,185150,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
BURNING ROCK BIOTECH LTD,SPONSORED ADS,12233L107,5402,200000,SH,SOLE,200000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,BNR
CENTENE CORP DEL,COM,15135B101,83568,1315000,SH,SOLE,1315000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CNC
CHIASMA INC,COM,16706W102,7491,1392312,SH,SOLE,1392312,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CAIHF
CIGNA CORP NEW,COM,125523100,30212,161000,SH,SOLE,161000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CI
COHERUS BIOSCIENCES INC,COM,19249H103,36171,2025275,SH,SOLE,2025275,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CHRS
COLLEGIUM PHARMACEUTICAL INC,COM,19459J104,20563,1175000,SH,SOLE,1175000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,COLL
COMPUGEN LTD,ORD,M25722105,16978,1130375,SH,SOLE,1130375,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CGEN
CONMED CORP,COM,207410101,12958,180000,SH,SOLE,180000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CNMD
CONSTELLATION PHARMCETICLS I,COM,210373106,15496,515680,SH,SOLE,515680,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CNST
COVETRUS INC,COM,22304C100,14983,837500,SH,SOLE,837500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
CYTOKINETICS INC,COM NEW,23282W605,1825,77417,SH,SOLE,77417,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CYTK
CYTOKINETICS INC,NOTE 4.000%11/1,23282WAA8,19082,8000000,PRN,SOLE,8000000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
DECIPHERA PHARMACEUTICALS IN,COM,24344T101,12531,209829,SH,SOLE,209829,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,DCPH
DYNAVAX TECHNOLOGIES CORP,COM NEW,268158201,14725,1660120,SH,SOLE,1660120,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,DVAX
EDWARDS LIFESCIENCES CORP,COM,28176E108,40222,582000,SH,SOLE,582000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,EW
ENCOMPASS HEALTH CORP,COM,29261A100,51557,832500,SH,SOLE,832500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,EHC
EPIZYME INC,COM,29428V104,33792,2104084,SH,SOLE,2104084,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,EPZM
EXACT SCIENCES CORP,COM,30063P105,36863,424000,SH,SOLE,424000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,EXAS
FIBROGEN INC,COM,31572Q808,12785,315449,SH,SOLE,315449,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,FGEN
FIVE PRIME THERAPEUTICS INC,COM,33830X104,2481,406729,SH,SOLE,406729,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,FPRX
FRESHPET INC,COM,358039105,39822,476000,SH,SOLE,476000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
FUSION PHARMACEUTICALS INC,COM,36118A100,16370,937041,SH,SOLE,937041,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,FUSN
GALAPAGOS NV,SPON ADR,36315X101,34526,175000,SH,SOLE,175000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GLPG
GALERA THERAPEUTICS INC,COM,36338D108,4052,567552,SH,SOLE,567552,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GRTX
GAMIDA CELL LTD,SHS,M47364100,9216,2016656,SH,SOLE,2016656,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GMDA
GLOBAL BLOOD THERAPEUTICS IN,COM,37890U108,18199,288279,SH,SOLE,288279,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GBT
GLOBAL CORD BLOOD CORPORATIO,SHS,G39342103,2868,925000,SH,SOLE,925000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,CO
GOSSAMER BIO INC,NOTE 5.000% 6/0,38341PAA0,15746,15573000,PRN,SOLE,15573000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
GUARDANT HEALTH INC,COM,40131M109,15415,190000,SH,SOLE,190000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GH
GW PHARMACEUTICALS PLC,ADS,36197T103,14732,120043,SH,SOLE,120043,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,GWPH
HCA HEALTHCARE INC,COM,40412C101,53334,549500,SH,SOLE,549500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,HCA
HEALTH CATALYST INC,COM,42225T107,12397,425000,SH,SOLE,425000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
HEALTHEQUITY INC,COM,42226A107,18780,320100,SH,SOLE,320100,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
HOMOLOGY MEDICINES INC,COM,438083107,5341,351638,SH,SOLE,351638,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,FIXX
HUMANA INC,COM,444859102,74060,191000,SH,SOLE,191000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,HUM
IDEXX LABS INC,COM,45168D104,41270,125000,SH,SOLE,125000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,IDXX
IGM BIOSCIENCES INC,COM,449585108,6955,95278,SH,SOLE,95278,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,IGMS
IMARA INC,COM,45249V107,10078,364733,SH,SOLE,364733,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,IMRA
IMMUNOMEDICS INC,COM,452907108,59457,1677679,SH,SOLE,1677679,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,IMMU
IMMUNOVANT INC,COM,45258J102,11014,452319,SH,SOLE,452319,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
INARI MED INC,COM,45332Y109,3875,80000,SH,SOLE,80000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NARI
INCYTE CORP,COM,45337C102,25993,250000,SH,SOLE,250000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,INCY
INSMED INC,NOTE 1.750% 1/1,457669AA7,5861,6000000,PRN,SOLE,6000000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
INSPIRE MED SYS INC,COM,457730109,23060,265000,SH,SOLE,265000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,INSP
INSULET CORP,COM,45784P101,56918,293000,SH,SOLE,293000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PODD
INTERSECT ENT INC,COM,46071F103,6770,500000,SH,SOLE,500000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,XENT
INTUITIVE SURGICAL INC,COM NEW,46120E602,68380,120000,SH,SOLE,120000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ISRG
INVITAE CORP,COM,46185L103,45772,1511127,SH,SOLE,1511127,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NVTA
IRHYTHM TECHNOLOGIES INC,COM,450056106,75444,651000,SH,SOLE,651000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,IRTC
JOHNSON  JOHNSON,COM,478160104,14766,105000,SH,SOLE,105000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,JNJ
KARUNA THERAPEUTICS INC,COM,48576A100,22661,203312,SH,SOLE,203312,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,KRTX
LEGEND BIOTECH CORP,SPONSORED ADS,52490G102,8763,205896,SH,SOLE,205896,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,LEGN
MACROGENICS INC,COM,556099109,6548,234516,SH,SOLE,234516,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MGNX
MADRIGAL PHARMACEUTICALS INC,COM,558868105,28796,254268,SH,SOLE,254268,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MDGL
MERSANA THERAPEUTICS INC,COM,59045L106,43955,1878428,SH,SOLE,1878428,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MRSN
MIRATI THERAPEUTICS INC,COM,60468T105,39818,348761,SH,SOLE,348761,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MRTX
MIRUM PHARMACEUTICALS INC,COM,604749101,25685,1319910,SH,SOLE,1319910,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MIRM
MOMENTA PHARMACEUTICALS INC,COM,60877T100,13308,400000,SH,SOLE,400000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
MYOKARDIA INC,COM,62857M105,16688,172716,SH,SOLE,172716,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MYOK
MYOVANT SCIENCES LTD,COM,G637AM102,10483,508411,SH,SOLE,508411,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,MYOV
NABRIVA THERAPEUTICS PLC,SHS,G63637105,720,1067664,SH,SOLE,1067664,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NBRV
NEUROCRINE BIOSCIENCES INC,COM,64125C109,166713,1366500,SH,SOLE,1366500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NBIX
NEUROCRINE BIOSCIENCES INC,NOTE 2.250% 5/1,64125CAD1,1673,1000000,PRN,SOLE,1000000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
NEVRO CORP,COM,64157F103,46115,386000,SH,SOLE,386000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NVRO
NEVRO CORP,NOTE 2.750% 4/0,64157FAC7,683,500000,PRN,SOLE,500000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
NGM BIOPHARMACEUTICALS INC,COM,62921N105,7055,357409,SH,SOLE,357409,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NGM
NOVAVAX INC,COM NEW,670002401,47559,570598,SH,SOLE,570598,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NVAX
NOVOCURE LTD,ORD SHS,G6674U108,10378,175000,SH,SOLE,175000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,NVCR
OBSEVA SA,COM,H5861P103,8385,1423552,SH,SOLE,1423552,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,OBSV
ODONATE THERAPEUTICS INC,COM,676079106,18512,437231,SH,SOLE,437231,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,ODT
ONESPAWORLD HOLDINGS LIMITED,COM,P73684113,8300,1740000,SH,SOLE,1740000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
PACIRA BIOSCIENCES,COM,695127100,48535,925000,SH,SOLE,925000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PCRX
PACIRA BIOSCIENCES,NOTE 2.375% 4/0,695127AD2,1094,1000000,PRN,SOLE,1000000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
PARATEK PHARMACEUTICALS INC,COM,699374302,8640,1655164,SH,SOLE,1655164,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PRTK
PASSAGE BIO INC,COM,702712100,5560,203436,SH,SOLE,203436,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PASG
PENUMBRA INC,COM,70975L107,37016,207000,SH,SOLE,207000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PEN
PHASEBIO PHARMACEUTICALS INC,COM,717224109,5262,1143925,SH,SOLE,1143925,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PHAS
PHREESIA INC,COM,71944F106,18424,651500,SH,SOLE,651500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
PORTOLA PHARMACEUTICALS INC,COM,737010108,41488,2306196,SH,SOLE,2306196,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
PPD INC,COM,69355F102,13065,487500,SH,SOLE,487500,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
PROTHENA CORP PLC,SHS,G72800108,10347,989218,SH,SOLE,989218,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,PRTA
RADIUS HEALTH INC,COM NEW,750469207,13674,1003259,SH,SOLE,1003259,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,RDUS
RADIUS HEALTH INC,NOTE 3.000% 9/0,750469AA6,1105,1500000,PRN,SOLE,1500000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
REPARE THERAPEUTICS INC,COM,760273102,8525,274815,SH,SOLE,274815,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,RPTX
RETROPHIN INC,COM,761299106,20905,1024261,SH,SOLE,1024261,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,RTRX
RETROPHIN INC,NOTE 2.500% 9/1,761299AB2,2713,3250000,PRN,SOLE,3250000,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,
RHYTHM PHARMACEUTICALS INC,COM,76243J105,11420,512111,SH,SOLE,512111,0,0,0001595725,06-30-2020,13F-HR,false,Rock Springs Capital Management LP,08-14-2020,RYTM
