nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,othermanager,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,putcall,ticker
1LIFE HEALTHCARE INC,COM,68269G107,4538,250000,SH,DFND,2,250000,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ONEM
10X GENOMICS INC,CL A COM,88025U109,5849,93847,SH,DFND,2,93847,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,TXG
111 INC,ADS,68247Q102,763,115429,SH,DFND,2,115429,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
ABBOTT LABS,COM,002824100,101342,1284272,SH,DFND,2,1284272,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ABT
ABBVIE INC,COM,00287Y109,1935,25400,SH,DFND,2,25400,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ABBV
ABIOMED INC,COM,003654100,15688,108072,SH,DFND,2,108072,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ABMD
ACADIA PHARMACEUTICALS INC,COM,004225108,1775,42000,SH,DFND,2,42000,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ACAD
ACCELERON PHARMA INC,COM,00434H108,1950,21700,SH,DFND,2,21700,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,XLRN
ADOBE INC,COM,00724F101,477,1500,SH,DFND,2,1500,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
AGILENT TECHNOLOGIES INC,COM,00846U101,444,6200,SH,DFND,2,6200,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,A
AGIOS PHARMACEUTICALS INC,COM,00847X104,2597,73200,SH,DFND,2,73200,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,AGIO
AGIOS PHARMACEUTICALS INC,COM,00847X104,135968,3832244,SH,DFND,"1,2",3832244,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,AGIO
AKCEA THERAPEUTICS INC,COM,00972L107,10801,755296,SH,DFND,2,755296,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
AKCEA THERAPEUTICS INC,COM,00972L107,35020,2448948,SH,DFND,"1,2",2448948,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
ALEXION PHARMACEUTICALS INC,COM,015351109,3313,36900,SH,DFND,2,36900,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ALXN
ALEXION PHARMACEUTICALS INC,COM,015351109,116227,1294428,SH,DFND,"1,2",1294428,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ALXN
ALIGN TECHNOLOGY INC,COM,016255101,35325,203076,SH,DFND,2,203076,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ALGN
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,34316,315264,SH,DFND,2,315264,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ALNY
ALNYLAM PHARMACEUTICALS INC,COM,02043Q107,158921,1460000,SH,DFND,"1,2",1460000,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ALNY
AMEDISYS INC,COM,023436108,11222,61143,SH,DFND,2,61143,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,AMED
AMERICAN EXPRESS CO,COM,025816109,308,3600,SH,DFND,2,3600,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
AMGEN INC,COM,031162100,26674,131573,SH,DFND,2,131573,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,AMGN
ANALOG DEVICES INC,COM,032654105,368,4100,SH,DFND,2,4100,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
ANSYS INC,COM,03662Q105,419,1802,SH,DFND,2,1802,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,
ANTHEM INC,COM,036752103,83007,365603,SH,DFND,2,365603,0,0,0001674546,03-31-2020,13F-HR,false,Bellevue Group AG,05-11-2020,,ANTM
