nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ALEXION PHARMACEUTICALS INC,COM,015351109,157136,1400000,SH,SOLE,1400000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,ALXN
ALKERMES PLC,SHS,G01767105,140686,7250000,SH,SOLE,7250000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,ALKS
AMAG PHARMACEUTICALS INC,COM,00163U106,33584,4390000,SH,SOLE,4390000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,AMAG
ASCENDIS PHARMA A S,SPONSORED ADR,04351P101,51765,350000,SH,SOLE,350000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,ASND
ATARA BIOTHERAPEUTICS INC,COM,046513107,20398,1400000,SH,SOLE,1400000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,ATRA
AVROBIO INC,COM,05455M100,23558,1350000,SH,SOLE,1350000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,AVRO
BLUEBIRD BIO INC,COM,09609G100,77826,1275000,SH,SOLE,1275000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,BLUE
BROOKDALE SR LIVING INC,COM,112463104,44250,15000000,SH,SOLE,15000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,BKD
CHANGE HEALTHCARE INC,COM,15912K100,178080,15900000,SH,SOLE,15900000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,
COHERUS BIOSCIENCES INC,COM,19249H103,39292,2200000,SH,SOLE,2200000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,CHRS
COLLEGIUM PHARMACEUTICAL INC,COM,19459J104,35000,2000000,SH,SOLE,2000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,COLL
GLAUKOS CORP,COM,377322102,28047,730000,SH,SOLE,730000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,GKOS
GLAXOSMITHKLINE PLC,SPONSORED ADR,37733W105,122370,3000000,SH,SOLE,3000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,GSK
GLYCOMIMETICS INC,COM,38000Q102,11280,3000000,SH,SOLE,3000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,GLYC
IMMUNOVANT INC,COM,45258J102,19480,800000,SH,SOLE,800000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,
IRONWOOD PHARMACEUTICALS INC,COM CL A,46333X108,67080,6500000,SH,SOLE,6500000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,IRWD
MOMENTA PHARMACEUTICALS INC,COM,60877T100,14972,450000,SH,SOLE,450000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,
MYLAN N V,SHS EURO,N59465109,176880,11000000,SH,SOLE,11000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,MYL
MYRIAD GENETICS INC,COM,62855J104,45360,4000000,SH,SOLE,4000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,MYGN
NEKTAR THERAPEUTICS,COM,640268108,69480,3000000,SH,SOLE,3000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,NKTR
PACIFIC BIOSCIENCES CALIF IN,COM,06404D908,10730,3110000,SH,SOLE,3110000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,
PERRIGO CO PLC,SHS,G97822103,124358,2250000,SH,SOLE,2250000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,PRGO
PUMA BIOTECHNOLOGY INC,COM,74587V107,25032,2400000,SH,SOLE,2400000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,PBYI
RADIUS HEALTH INC,COM NEW,750469207,5111,375000,SH,SOLE,375000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,RDUS
SAGE THERAPEUTICS INC,COM,78667J108,21830,525000,SH,SOLE,525000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,SAGE
SAREPTA THERAPEUTICS INC,COM,803607100,64136,400000,SH,SOLE,400000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,SRPT
SUTRO BIOPHARMA INC,COM,869367102,4656,600000,SH,SOLE,600000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,STRO
TEVA PHARMACEUTICAL INDS LTD,SPONSORED ADS,881624209,24660,2000000,SH,SOLE,2000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,TEVA
TRANSLATE BIO INC,COM,89374L104,17920,1000000,SH,SOLE,1000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,TBIO
UNIVERSAL HLTH SVCS INC,CL B,913903100,92890,1000000,SH,SOLE,1000000,0,0,0001444043,06-30-2020,13F-HR,false,Camber Capital Management LP,08-14-2020,
