nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
Abeona Therapeutics Inc,COM,00289Y107,6006,2859767,SH,SOLE,2859767,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,ABEO
Aldeyra Therapeutics Inc,COM,01438T106,1406,569405,SH,SOLE,569405,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,ALDX
Anavex Life Sciences Corp,COM NEW,032797300,2281,724205,SH,SOLE,724205,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,AVXL
Applied Therapeutics Inc,COM,03828A101,20989,642071,SH,SOLE,642071,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,APLT
Biohaven Pharmactl Hldg Co L,COM,G11196105,29181,857494,SH,SOLE,857494,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,BHVN
BioXCel Therapeutics Inc,COM,09075P105,447,20000,SH,SOLE,20000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,BTAI
Blackstone Group LP,COM UNIT LTD,09253U108,3646,80000,SH,SOLE,80000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Catasys Inc,COM PAR,149049504,655,43034,SH,SOLE,43034,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Centurylink Inc,COM,156700106,2081,220000,SH,SOLE,220000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Corbus Pharmaceuticals HLDGS,COM,21833P103,26440,5045870,SH,SOLE,5045870,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,CRBP
Corteva Inc,COM,22052L104,705,30000,SH,SOLE,30000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Dow Inc,COM,260557103,877,30000,SH,SOLE,30000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Dupont de Nemours Inc,COM,26614N102,512,15000,SH,SOLE,15000,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Eiger Biopharmaceuticals Inc,COM,28249U105,3232,475238,SH,SOLE,475238,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,EIGR
Entera Bio Ltd,SHS,M40527109,3274,1741363,SH,SOLE,1741363,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Exicure Inc,COM,30205M101,1891,1277777,SH,SOLE,1277777,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,
Molecular Templates,COM,608550109,1514,113905,SH,SOLE,113905,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,MTEM
Soligenix Inc.,COM,834223307,1324,787830,SH,SOLE,787830,0,0,0001325083,03-31-2020,13F-HR,false,"Knoll Capital Management, LP",05-15-2020,SNGX
