nameofissuer,titleofclass,cusip,value,sshprnamt,sshprnamttype,investmentdiscretion,sole,shared,none,cik,reportcalendarorquarter,submissiontype,isamendment,filer,signaturedate,ticker
ACADIA PHARMACEUTICALS INC,COM,004225108,3887,92000, SH ,SOLE,92000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,ACAD
ACCELERATE DIAGNOSTICS INC,COM,00430H102,18274,2193795, SH ,SOLE,2193795,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,AXDX
ACCELERON PHARMA INC,COM,00434H108,1678,18672, SH ,SOLE,18672,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,XLRN
ALBIREO PHARMA INC,COM,01345P106,786,48000, SH ,SOLE,48000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,ALBO
AMARIN CORP PLC,SPONS ADR NEW,023111206,720,180000, SH ,SOLE,180000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,AMRN
AMICUS THERAPEUTICS INC,COM,03152W109,351,38000, SH ,SOLE,38000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,FOLD
APELLIS PHARMACEUTICALS INC,COM,03753U106,214,8000, SH ,SOLE,8000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,APLS
ARENA PHARMACEUTICALS INC,COM,040047607,924,22000, SH ,SOLE,22000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,ARNA
ARVINAS INC,COM,04335A105,604,15000, SH ,SOLE,15000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,ARVN
BIOCRYST PHARMACEUTICALS INC,COM,09058V103,40,20000, SH ,SOLE,20000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,BCRX
BIOGEN INC,COM,09062X103,3480,11000, SH ,SOLE,11000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,BIIB
BIOHAVEN PHARMACEUTICAL HOLDING CO LTD,COM,G11196105,340,10000, SH ,SOLE,10000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,BHVN
BMY CVR RTS 03/31/21,RIGHT,110122157,2686,706848, SH ,SOLE,706848,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,
BRISTOL-MYERS SQUIBB CO,COM,110122108,43800,785785, SH ,SOLE,785785,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,BMY
CHEMOCENTRYX INC,COM,16383L106,1205,30000, SH ,SOLE,30000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,CCXI
CONTRAFECT CORP,COM,212326102,1473,255700, SH ,SOLE,255700,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,
CORCEPT THERAPEUTICS INC,COM,218352102,594,50000, SH ,SOLE,50000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,CORT
DICERNA PHARMACEUTICALS INC,COM,253031108,184,10000, SH ,SOLE,10000,0,0,0001618205,03-31-2020,13F-HR,false,"Birchview Capital, LP",05-12-2020,DRNA
